,word,ARRA Indicator,Activity,Administering  IC,Application ID,Contact PI  Person ID,Contact PI / Project Leader,FY,FY Total Cost ,FY Total Cost  (Sub Projects),IC,Organization Name,Other PI or Project Leader(s),Project Number,Project Title,Serial Number,Subproject Number ,Suffix,Support Year,Type
10,bicultural, ,R24,NCMHD,7806443,1875070,"CALMAN, NEIL S",2010,625127,,MD,INSTITUTE FOR FAMILY HEALTH,Not Applicable,5R24MD001644-06,BRONX FAITH-BASED INITIATIVE TO ELIMINATE RACIAL DISPARITIES IN HEALTH,1644,,,6,5
11,bicultural, ,R24,NCMHD,7633421,1875070,"CALMAN, NEIL S",2009,624928,,MD,INSTITUTE FOR FAMILY HEALTH,Not Applicable,5R24MD001644-05,BRONX FAITH-BASED INITIATIVE TO ELIMINATE RACIAL DISPARITIES IN HEALTH,1644,,,5,5
12,bicultural, ,R24,NCMHD,7682637,1875070,"CALMAN, NEIL S",2008,199260,,MD,INSTITUTE FOR FAMILY HEALTH,Not Applicable,3R24MD001644-04S1,BRONX FAITH-BASED INITIATIVE TO ELIMINATE RACIAL DISPARITIES IN HEALTH,1644,,S1,4,3
13,bicultural, ,R24,NCMHD,7492525,1875070,"CALMAN, NEIL S",2008,520061,,MD,INSTITUTE FOR FAMILY HEALTH,Not Applicable,2R24MD001644-04,BRONX FAITH-BASED INITIATIVE TO ELIMINATE RACIAL DISPARITIES IN HEALTH,1644,,,4,2
14,bicultural, ,P20,NIA,6098553,6139985,"CALVES, NOEL ",1996,,,AG,UNIVERSITY OF ILLINOIS AT CHICAGO,Not Applicable,3P20AG012042-03S1,HEALTH BEHAVIORS OF MULTI-ETHNIC HISPANIC ELDERLY,12042,4,S1,3,3
15,bicultural, ,P20,NIA,3746372,3364175,"CALVES, NOEL ",1994,,,AG,UNIVERSITY OF ILLINOIS AT CHICAGO,Not Applicable,5P20AG012042-02,HEALTH BEHAVIORS OF MULTI-ETHNIC HISPANIC ELDERLY,12042,4,,2,5
16,bicultural, ,R01,NCI,2102433,1865141,"CELLA, DAVID ",1994,321855,,CA,RUSH UNIVERSITY MEDICAL CENTER,Not Applicable,5R01CA061679-02,VALIDATING UNBIASED ONCOLOGY QUALITY OF LIFE ASSESSMENT,61679,,,2,5
17,bicultural, ,R01,NCI,3204982,1865141,"CELLA, DAVID ",1993,316410,,CA,RUSH UNIVERSITY MEDICAL CENTER,Not Applicable,1R01CA061679-01,VALIDATING UNBIASED ONCOLOGY QUALITY OF LIFE ASSESSMENT,61679,,,1,1
18,bicultural, ,R34,NIMH,8270522,7943755,"CHAVIRA, DENISE A",2012,217961,,MH,UNIVERSITY OF CALIFORNIA SAN DIEGO,Not Applicable,5R34MH090149-03,FEASIBLE DELIVERY OF CBT FOR RURAL LATINO YOUTH WITH ANXIETY,90149,,,3,5
19,bicultural, ,R34,NIMH,8074063,7943755,"CHAVIRA, DENISE A",2011,217961,,MH,UNIVERSITY OF CALIFORNIA SAN DIEGO,Not Applicable,5R34MH090149-02,FEASIBLE DELIVERY OF CBT FOR RURAL LATINO YOUTH WITH ANXIETY,90149,,,2,5
20,bicultural, ,R34,NIMH,7873715,7943755,"CHAVIRA, DENISE A",2010,220163,,MH,UNIVERSITY OF CALIFORNIA SAN DIEGO,Not Applicable,1R34MH090149-01,FEASIBLE DELIVERY OF CBT FOR RURAL LATINO YOUTH WITH ANXIETY,90149,,,1,1
21,bicultural, ,U01,NCI,7227356,1884703,"CHEN, MOON SHAO-CHUANG",2006,72277,,CA,UNIVERSITY OF CALIFORNIA DAVIS,Not Applicable,3U01CA114640-02S4,IMPACT OF INTERPRETERS ON CANCER CARE ACCESS & DELIVERY FOR THAI & VIETNAMESE PTS,114640,,S4,2,3
22,bicultural, ,R01,NINR,6916241,1906989,"DAVIES, ELIZABETH M",2005,272484,,NR,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,Not Applicable,5R01NR007879-04,LATINO & CHINESE FAMILIES IN PEDIATRIC PALLIATIVE CARE,7879,,,4,5
23,bicultural, ,R01,NINR,6755049,1906989,"DAVIES, ELIZABETH M",2004,362800,,NR,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,Not Applicable,5R01NR007879-03,LATINO & CHINESE FAMILIES IN PEDIATRIC PALLIATIVE CARE,7879,,,3,5
24,bicultural, ,R01,NINR,6661338,1906989,"DAVIES, ELIZABETH M",2003,357743,,NR,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,Not Applicable,5R01NR007879-02,LATINO & CHINESE FAMILIES IN PEDIATRIC PALLIATIVE CARE,7879,,,2,5
25,bicultural, ,R01,NINR,6545079,1906989,"DAVIES, ELIZABETH M",2002,304975,,NR,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,Not Applicable,1R01NR007879-01A1,LATINO & CHINESE FAMILIES IN PEDIATRIC PALLIATIVE CARE,7879,,A1,1,1
26,bicultural, ,K23,NIMH,6683207,6097516,"DIAZ, ESPERANZA ",2004,160784,,MH,YALE UNIVERSITY,Not Applicable,5K23MH001912-05,MEDICATION ADHERENCE IN LATINOS,1912,,,5,5
27,bicultural, ,K23,NIMH,6625381,6097516,"DIAZ, ESPERANZA ",2003,157869,,MH,YALE UNIVERSITY,Not Applicable,5K23MH001912-04,MEDICATION ADHERENCE IN LATINOS,1912,,,4,5
28,bicultural, ,K23,NIMH,6477035,6097516,"DIAZ, ESPERANZA ",2002,156265,,MH,YALE UNIVERSITY,Not Applicable,5K23MH001912-03,MEDICATION ADHERENCE IN LATINOS,1912,,,3,5
29,bicultural, ,K23,NIMH,6330231,6097516,"DIAZ, ESPERANZA ",2001,153640,,MH,YALE UNIVERSITY,Not Applicable,5K23MH001912-02,MEDICATION ADHERENCE IN LATINOS,1912,,,2,5
30,bicultural, ,K23,NIMH,6032199,6097516,"DIAZ, ESPERANZA ",2000,150758,,MH,YALE UNIVERSITY,Not Applicable,1K23MH001912-01,MEDICATION ADHERENCE IN LATINOS,1912,,,1,1
31,bicultural, ,R21,NIA,8323236,8523881,"DONG, XINQI ",2012,145188,,AG,RUSH UNIVERSITY MEDICAL CENTER,Not Applicable,5R21AG038815-02,CHINESE HEALTH AND AGING PROJECT: BUILDING SUPPORT THROUGH COMMUNITY ENGAGEMENT,38815,,,2,5
32,bicultural, ,R21,NIA,8189252,8523881,"DONG, XINQI ",2011,187703,,AG,RUSH UNIVERSITY MEDICAL CENTER,Not Applicable,1R21AG038815-01A1,CHINESE HEALTH AND AGING PROJECT: BUILDING SUPPORT THROUGH COMMUNITY ENGAGEMENT,38815,,A1,1,1
33,bicultural,YES,RC4,NIA,8004535,8523881,"DONG, XINQI ",2010,998229,,AG,RUSH UNIVERSITY MEDICAL CENTER,Not Applicable,1RC4AG039085-01,BUILDING RESEARCH INFRASTRUCTURE & NETWORK IN CHICAGO CHINATOWN,39085,,,1,1
34,bicultural, ,R01,NIMHD,8795104,8523881,"DONG, XINQI ",2015,334373,,MD,RUSH UNIVERSITY MEDICAL CENTER,Not Applicable,5R01MD006173-04,FILIAL PIETY AND PSYCHOSOCIAL WELL-BEING IN CHINESE POPULATION,6173,,,4,5
35,bicultural, ,R01,NIMHD,8607993,8523881,"DONG, XINQI ",2014,335397,,MD,RUSH UNIVERSITY MEDICAL CENTER,Not Applicable,5R01MD006173-03,FILIAL PIETY AND PSYCHOSOCIAL WELL-BEING IN CHINESE POPULATION,6173,,,3,5
36,bicultural, ,R01,NIMHD,8449591,8523881,"DONG, XINQI ",2013,319194,,MD,RUSH UNIVERSITY MEDICAL CENTER,Not Applicable,5R01MD006173-02,FILIAL PIETY AND PSYCHOSOCIAL WELL-BEING IN CHINESE POPULATION,6173,,,2,5
37,bicultural, ,R01,NIMHD,8278824,8523881,"DONG, XINQI ",2012,360347,,MD,RUSH UNIVERSITY MEDICAL CENTER,Not Applicable,1R01MD006173-01A1,FILIAL PIETY AND PSYCHOSOCIAL WELL-BEING IN CHINESE POPULATION,6173,,A1,1,1
38,bicultural, ,R34,NIMH,8843963,8523881,"DONG, XINQI  ",2015,202456,,MH,RUSH UNIVERSITY MEDICAL CENTER,"SIMON, MELISSA ANDREA",5R34MH100443-02,SUICIDE PREVENTION IN CHINESE OLDER ADULTS,100443,,,2,5
39,bicultural, ,R34,NIMH,8635840,8523881,"DONG, XINQI  ",2014,215706,,MH,RUSH UNIVERSITY MEDICAL CENTER,"SIMON, MELISSA ANDREA",1R34MH100443-01A1,SUICIDE PREVENTION IN CHINESE OLDER ADULTS,100443,,A1,1,1
40,bicultural, ,R01,NINR,8815573,8523881,"DONG, XINQI ",2015,669165,,NR,RUSH UNIVERSITY MEDICAL CENTER,Not Applicable,1R01NR014846-01A1,CULTURE AND CAREGIVING NEED FOR CHINESE ELDERLY WITH COGNITIVE IMPAIRMENT,14846,,A1,1,1
41,bicultural, ,R01,NCI,6513588,1871746,"ELDER, JOHN P",2002,651711,,CA,SAN DIEGO STATE UNIVERSITY,Not Applicable,5R01CA081877-04,INNOVATIVE NUTRITION COMMUNICATION FOR LATINOS,81877,,,4,5
42,bicultural, ,R01,NCI,6362716,1871746,"ELDER, JOHN P",2001,692726,,CA,SAN DIEGO STATE UNIVERSITY,Not Applicable,5R01CA081877-03,INNOVATIVE NUTRITION COMMUNICATION FOR LATINOS,81877,,,3,5
43,bicultural, ,R01,NCI,6441412,1871746,"ELDER, JOHN P",2001,2356,,CA,SAN DIEGO STATE UNIVERSITY,Not Applicable,3R01CA081877-02S1,INNOVATIVE NUTRITION COMMUNICATION FOR LATINOS,81877,,S1,2,3
44,bicultural, ,R01,NCI,6164317,1871746,"ELDER, JOHN P",2000,601537,,CA,SAN DIEGO STATE UNIVERSITY,Not Applicable,5R01CA081877-02,INNOVATIVE NUTRITION COMMUNICATION FOR LATINOS,81877,,,2,5
45,bicultural, ,R01,NCI,2869164,1871746,"ELDER, JOHN P",1999,451650,,CA,SAN DIEGO STATE UNIVERSITY,Not Applicable,1R01CA081877-01,INNOVATIVE NUTRITION COMMUNICATION FOR LATINOS,81877,,,1,1
46,bicultural, ,R01,NCI,7361776,2267636,"ELL, KATHLEEN R",2007,60468,,CA,UNIVERSITY OF SOUTHERN CALIFORNIA,Not Applicable,3R01CA105269-04S1,MULTIFACETED ONCOLOGY DEPRESSION PROGRAM FOR LATINOS,105269,,S1,4,3
47,bicultural, ,R01,NCI,7178516,2267636,"ELL, KATHLEEN R",2007,561599,,CA,UNIVERSITY OF SOUTHERN CALIFORNIA,Not Applicable,5R01CA105269-04,MULTIFACETED ONCOLOGY DEPRESSION PROGRAM FOR LATINOS,105269,,,4,5
48,bicultural, ,R01,NCI,7178349,2267636,"ELL, KATHLEEN R",2006,59881,,CA,UNIVERSITY OF SOUTHERN CALIFORNIA,Not Applicable,3R01CA105269-03S1,MULTIFACETED ONCOLOGY DEPRESSION PROGRAM FOR LATINOS,105269,,S1,3,3
49,bicultural, ,R01,NCI,7067227,2267636,"ELL, KATHLEEN R",2006,636980,,CA,UNIVERSITY OF SOUTHERN CALIFORNIA,Not Applicable,5R01CA105269-03,MULTIFACETED ONCOLOGY DEPRESSION PROGRAM FOR LATINOS,105269,,,3,5
50,bicultural, ,R01,NCI,7124488,2267636,"ELL, KATHLEEN R",2005,34001,,CA,UNIVERSITY OF SOUTHERN CALIFORNIA,Not Applicable,3R01CA105269-02S1,MULTIFACETED ONCOLOGY DEPRESSION PROGRAM FOR LATINOS,105269,,S1,2,3
51,bicultural, ,R01,NCI,6878645,2267636,"ELL, KATHLEEN R",2005,659874,,CA,UNIVERSITY OF SOUTHERN CALIFORNIA,Not Applicable,5R01CA105269-02,MULTIFACETED ONCOLOGY DEPRESSION PROGRAM FOR LATINOS,105269,,,2,5
52,bicultural, ,R01,NCI,6712397,2267636,"ELL, KATHLEEN R",2004,663091,,CA,UNIVERSITY OF SOUTHERN CALIFORNIA,Not Applicable,1R01CA105269-01,MULTIFACETED ONCOLOGY DEPRESSION PROGRAM FOR LATINOS,105269,,,1,1
53,bicultural, ,R01,NIMH,7342771,2267636,"ELL, KATHLEEN R",2008,683969,,MH,UNIVERSITY OF SOUTHERN CALIFORNIA,Not Applicable,5R01MH068468-04,MULTIFACETED DEPRESSION DIABETES PROGRAM FOR HISPANICS,68468,,,4,5
54,bicultural, ,R01,NIMH,7171533,2267636,"ELL, KATHLEEN R",2007,823406,,MH,UNIVERSITY OF SOUTHERN CALIFORNIA,Not Applicable,5R01MH068468-03,MULTIFACETED DEPRESSION DIABETES PROGRAM FOR HISPANICS,68468,,,3,5
55,bicultural, ,R01,NIMH,7232490,2267636,"ELL, KATHLEEN R",2006,113073,,MH,UNIVERSITY OF SOUTHERN CALIFORNIA,Not Applicable,3R01MH068468-02S1,MULTIFACETED DEPRESSION DIABETES PROGRAM FOR HISPANICS,68468,,S1,2,3
56,bicultural, ,R01,NIMH,7012279,2267636,"ELL, KATHLEEN R",2006,714393,,MH,UNIVERSITY OF SOUTHERN CALIFORNIA,Not Applicable,5R01MH068468-02,MULTIFACETED DEPRESSION DIABETES PROGRAM FOR HISPANICS,68468,,,2,5
57,bicultural, ,R01,NIMH,6865322,2267636,"ELL, KATHLEEN R",2005,729792,,MH,UNIVERSITY OF SOUTHERN CALIFORNIA,Not Applicable,1R01MH068468-01A2,MULTIFACETED DEPRESSION DIABETES PROGRAM FOR HISPANICS,68468,,A2,1,1
58,bicultural, ,R13,NIDCD,3434428,1880425,"EMMOREY, KAREN ",1992,40535,,DC,SALK INSTITUTE FOR BIOLOGICAL STUDIES,Not Applicable,1R13DC001383-01,THEORETICAL ISSUES IN SIGN LANGUAGE RESEARCH,1383,,,1,1
59,bicultural, ,R24,NIMH,2430935,1891063,"GOGGIN, JUDITH P",1997,559682,,MH,UNIVERSITY OF TEXAS EL PASO,Not Applicable,5R24MH047167-06,MENTAL HEALTH RESEARCH DEVELOPMENT,47167,,,6,5
60,bicultural, ,R24,NIMH,2247445,1891063,"GOGGIN, JUDITH P",1995,465240,,MH,UNIVERSITY OF TEXAS EL PASO,Not Applicable,2R24MH047167-04A1,MENTAL HEALTH RESEARCH DEVELOPMENT,47167,,A1,4,2
61,bicultural, ,R24,NIMH,3450384,1891063,"GOGGIN, JUDITH P",1992,505226,,MH,UNIVERSITY OF TEXAS EL PASO,Not Applicable,5R24MH047167-03,ADM RESEARCH DEVELOPMENT AT THE UNIV OF TEXAS AT EL PASO,47167,,,3,5
62,bicultural, ,U01,NIA,2712136,6439249,"GOLD, ELLEN B",1998,395390,,AG,UNIVERSITY OF CALIFORNIA DAVIS,Not Applicable,5U01AG012554-05,LIFESTYLE AND OVARIAN FUNCTION IN MID-LIFE WOMEN,12554,,,5,5
63,bicultural, ,U01,NIA,2429294,6439249,"GOLD, ELLEN B",1997,521880,,AG,UNIVERSITY OF CALIFORNIA DAVIS,Not Applicable,5U01AG012554-04,LIFESTYLE AND OVARIAN FUNCTION IN MID-LIFE WOMEN,12554,,,4,5
64,bicultural, ,U01,NIA,2054219,6439249,"GOLD, ELLEN B",1995,574841,,AG,UNIVERSITY OF CALIFORNIA DAVIS,Not Applicable,5U01AG012554-02,LIFESTYLE AND OVARIAN FUNCTION IN MID-LIFE WOMEN,12554,,,2,5
65,bicultural, ,U01,NIA,2054218,6439249,"GOLD, ELLEN B",1994,344615,,AG,UNIVERSITY OF CALIFORNIA DAVIS,Not Applicable,1U01AG012554-01,LIFESTYLE AND OVARIAN FUNCTION IN MID-LIFE WOMEN,12554,,,1,1
66,bicultural, ,R01,NIMH,6528508,1960127,"HALL, GORDON C",2002,385122,,MH,UNIVERSITY OF OREGON,Not Applicable,5R01MH058726-03,CULTURE SPECIFIC MODELS OF MEN'S AGGRESSION,58726,,,3,5
67,bicultural, ,R01,NIMH,6392383,1960127,"HALL, GORDON C",2001,367969,,MH,UNIVERSITY OF OREGON,Not Applicable,7R01MH058726-02,CULTURE SPECIFIC MODELS OF MEN'S AGGRESSION,58726,,,2,7
68,bicultural, ,R01,NIMH,6129361,1960127,"HALL, GORDON C",2000,352879,,MH,PENNSYLVANIA STATE UNIVERSITY-UNIV PARK,Not Applicable,1R01MH058726-01A2,CULTURE SPECIFIC MODELS OF MEN'S AGGRESSION,58726,,A2,1,1
69,bicultural, ,F31,NINR,8330968,10195526,"HAYES-BAUTISTA, TEODOCIA MARIA",2012,36799,,NR,UNIVERSITY OF CALIFORNIA LOS ANGELES,Not Applicable,5F31NR012862-02,LATINA MOTHERS' COPING PROCESSES WHILE THEIR YOUNG ADULT SONS ARE INCARCERATED,12862,,,2,5
70,bicultural, ,F31,NINR,8122814,10195526,"HAYES-BAUTISTA, TEODOCIA MARIA",2011,36367,,NR,UNIVERSITY OF CALIFORNIA LOS ANGELES,Not Applicable,1F31NR012862-01,LATINA MOTHERS' COPING PROCESSES WHILE THEIR YOUNG ADULT SONS ARE INCARCERATED,12862,,,1,1
71,bicultural, ,R25,NIGMS,6333619,1903841,"HENLY, SUSAN J",2001,620070,,GM,UNIVERSITY OF MINNESOTA TWIN CITIES,Not Applicable,1R25GM063249-01,AMERICAN INDIAN MS TO PHD NURSING SCIENCE BRIDGE,63249,,,1,1
72,bicultural, ,R03,NCI,6951557,1861220,"HORN-ROSS, PAMELA L",2005,69700,,CA,CANCER PREVENTION INSTIT OF CALIFORNIA,Not Applicable,5R03CA110929-02,PLANT FOODS AND ENDOMETRIAL CANCER EPIDEMIOLOGY,110929,,,2,5
73,bicultural, ,R03,NCI,6887937,1861220,"HORN-ROSS, PAMELA L",2004,69700,,CA,CANCER PREVENTION INSTIT OF CALIFORNIA,Not Applicable,1R03CA110929-01A1,PLANT FOODS AND ENDOMETRIAL CANCER EPIDEMIOLOGY,110929,,A1,1,1
74,bicultural, ,R01,NHLBI,6017271,1858256,"HOVELL, MELBOURNE F",1999,596836,,HL,SAN DIEGO STATE UNIVERSITY,Not Applicable,5R01HL052835-04,NINOS SANOS--REDUCING ETS EXPOSURE IN LATINO ASTHMATICS,52835,,,4,5
75,bicultural, ,R01,NHLBI,2861691,1858256,"HOVELL, MELBOURNE F",1998,9204,,HL,SAN DIEGO STATE UNIVERSITY,Not Applicable,3R01HL052835-03S1,NINOS SANOS--REDUCING ETS EXPOSURE IN LATINO ASTHMATICS,52835,,S1,3,3
76,bicultural, ,R01,NHLBI,2714070,1858256,"HOVELL, MELBOURNE F",1998,799985,,HL,SAN DIEGO STATE UNIVERSITY,Not Applicable,5R01HL052835-03,NINOS SANOS--REDUCING ETS EXPOSURE IN LATINO ASTHMATICS,52835,,,3,5
77,bicultural, ,R01,NHLBI,2430756,1858256,"HOVELL, MELBOURNE F",1997,776013,,HL,SAN DIEGO STATE UNIVERSITY,Not Applicable,5R01HL052835-02,NINOS SANOS--REDUCING ETS EXPOSURE IN LATINO ASTHMATICS,52835,,,2,5
78,bicultural,UNIV OF MASSACHUSETTS MED SCH WORCESTER,5,DM,BHP,,1958286, ,1993,,U76,Not Applicable,"HUPPERT, MICHAEL E",3561411,AHEC SPECIAL INITIATIVES,PE,,2,499,5U76PE000499-02
79,bicultural,UNIV OF MASSACHUSETTS MED SCH WORCESTER,1,DM,BHP,,1958286, ,1992,,U76,Not Applicable,"HUPPERT, MICHAEL E",3561410,AHEC SPECIAL INITIATIVES,PE,,1,499,1U76PE000499-01
80,bicultural, ,R01,NCI,6633454,1986699,"JACKSON, JONATHAN CAREY",2003,343725,,CA,UNIVERSITY OF WASHINGTON,Not Applicable,5R01CA082326-04,CANCER CONTROL IN A VIETNAMESE AMERICAN POPULATION,82326,,,4,5
81,bicultural, ,R01,NCI,6514065,1986699,"JACKSON, JONATHAN CAREY",2002,388029,,CA,UNIVERSITY OF WASHINGTON,Not Applicable,5R01CA082326-03,CANCER CONTROL IN A VIETNAMESE AMERICAN POPULATION,82326,,,3,5
82,bicultural, ,R01,NCI,6402514,1986699,"JACKSON, JONATHAN CAREY",2001,444327,,CA,UNIVERSITY OF WASHINGTON,Not Applicable,5R01CA082326-02,CANCER CONTROL IN A VIETNAMESE AMERICAN POPULATION,82326,,,2,5
83,bicultural, ,R01,NCI,6132515,1986699,"JACKSON, JONATHAN CAREY",2000,328338,,CA,UNIVERSITY OF WASHINGTON,Not Applicable,1R01CA082326-01A1,CANCER CONTROL IN A VIETNAMESE AMERICAN POPULATION,82326,,A1,1,1
84,bicultural, ,R01,NCI,2712690,1868390,"JOHN, ESTHER M",1998,340578,,CA,NORTHERN CALIFORNIA CANCER CENTER,Not Applicable,5R01CA063446-04,BREAST CANCER RISK FACTORS IN HISPANIC WOMEN,63446,,,4,5
85,bicultural, ,R01,NCI,2429804,1868390,"JOHN, ESTHER M",1997,326811,,CA,NORTHERN CALIFORNIA CANCER CENTER,Not Applicable,5R01CA063446-03,BREAST CANCER RISK FACTORS IN HISPANIC WOMEN,63446,,,3,5
86,bicultural, ,R01,NCI,2105302,1868390,"JOHN, ESTHER M",1995,333145,,CA,NORTHERN CALIFORNIA CANCER CENTER,Not Applicable,1R01CA063446-01A2,BREAST CANCER RISK FACTORS IN HISPANIC WOMEN,63446,,A2,1,1
87,bicultural, ,R03,NCI,8788698,11166901,"KUE, JENNIFER ",2015,77000,,CA,OHIO STATE UNIVERSITY,Not Applicable,5R03CA175464-02,SOUTHEAST ASIAN WOMEN'S HEALTH PROJECT,175464,,,2,5
88,bicultural, ,R03,NCI,8637352,11166901,"KUE, JENNIFER ",2014,76875,,CA,OHIO STATE UNIVERSITY,Not Applicable,1R03CA175464-01A1,SOUTHEAST ASIAN WOMEN'S HEALTH PROJECT,175464,,A1,1,1
89,bicultural,YES,R18,AHRQ,8009542,2211929,"LARA, MARIELENA ",2010,,,HS,RAND CORPORATION,Not Applicable,1R18HS019264-01,INFORMING LATINAS ABOUT MEDICATIONS TO REDUCE RISK FOR BREAST CANCER,19264,,,1,1
90,bicultural, ,P01,NCI,6237218,1991535,"LEE, MARION M",1997,,15908,CA,NORTHERN CALIFORNIA CANCER CENTER,Not Applicable,3P01CA055112-04S1,PATHWAYS TO EARLY CANCER DETECTION FOR CHINESE AMERICANS,55112,5,S1,4,3
91,bicultural, ,R21,NHLBI,7862483,8644509,"LINDBERG, NANGEL M",2010,237000,,HL,KAISER FOUNDATION RESEARCH INSTITUTE,Not Applicable,5R21HL094965-02,CULTURALLY-SENSITIVE WEIGHT LOSS INTERVENTION FOR WOMEN OF MEXICAN ORIGIN,94965,,,2,5
92,bicultural, ,R21,NHLBI,7660227,8644509,"LINDBERG, NANGEL M",2009,197500,,HL,KAISER FOUNDATION RESEARCH INSTITUTE,Not Applicable,1R21HL094965-01A1,CULTURALLY-SENSITIVE WEIGHT LOSS INTERVENTION FOR WOMEN OF MEXICAN ORIGIN,94965,,A1,1,1
93,bicultural, ,R03,FIC,8842222,6255019,"MA, GRACE X",2015,51030,,TW,TEMPLE UNIV OF THE COMMONWEALTH,Not Applicable,5R03TW009406-03,BREAST CANCER EARLY DETECTION INTERVENTION AT COMMUNITY HEALTH CENTERS IN CHINA,9406,,,3,5
94,bicultural, ,R03,FIC,8655569,6255019,"MA, GRACE X",2014,51030,,TW,TEMPLE UNIV OF THE COMMONWEALTH,Not Applicable,5R03TW009406-02,BREAST CANCER EARLY DETECTION INTERVENTION AT COMMUNITY HEALTH CENTERS IN CHINA,9406,,,2,5
95,bicultural, ,R03,FIC,8410608,6255019,"MA, GRACE X",2013,56880,,TW,TEMPLE UNIV OF THE COMMONWEALTH,Not Applicable,1R03TW009406-01,BREAST CANCER EARLY DETECTION INTERVENTION AT COMMUNITY HEALTH CENTERS IN CHINA,9406,,,1,1
96,bicultural, ,R03,NICHD,8207862,1919737,"MAGANA, SANDRA M",2012,27250,,HD,UNIVERSITY OF WISCONSIN-MADISON,Not Applicable,5R03HD064828-02,CULTURAL EQUIVALENCE OF AUTISM ASSESSMENT FOR LATINO CHILDREN,64828,,,2,5
97,bicultural, ,R03,NICHD,8048564,1919737,"MAGANA, SANDRA M",2011,74250,,HD,UNIVERSITY OF WISCONSIN-MADISON,Not Applicable,1R03HD064828-01A1,CULTURAL EQUIVALENCE OF AUTISM ASSESSMENT FOR LATINO CHILDREN,64828,,A1,1,1
98,bicultural, ,R01,NINR,8878071,6605359,"MARQUEZ, DAVID X",2015,397314,,NR,UNIVERSITY OF ILLINOIS AT CHICAGO,Not Applicable,5R01NR013151-04,BAILA: BEING ACTIVE; INCREASING LATINOS HEALTHY AGING,13151,,,4,5
99,bicultural, ,R01,NINR,8670570,6605359,"MARQUEZ, DAVID X",2014,398091,,NR,UNIVERSITY OF ILLINOIS AT CHICAGO,Not Applicable,5R01NR013151-03,BAILA: BEING ACTIVE; INCREASING LATINOS HEALTHY AGING,13151,,,3,5
