ID,Grant Agency,Term,Start Year,Organization Name,Project Title,Support Year,Grant Type,Award Amount,State,TermCode,AgencyCode
33,NSF,multicultural,2001,University of North Carolina Greensboro,Collaborative Workshops in the Human Sciences: Understanding Socialization and Adolescent Development in Multi-cultural Contexts,14.0,1.0,"$14,992.00",NC,10,2
34,NSF,multicultural,1999,University of Kansas Center for Research Inc,"GK-12: Teaching Fellows in Chemistry, Physics and Biology in the Kansas City Metropolitan Schools",16.0,2.0,"$1,112,823.00",KS,10,2
35,NSF,multicultural,2003,Utah State University,Undergraduate Scholarships in Engineering to Improve Retention and Diversity,12.0,1.0,"$400,000.00",UT,10,2
36,NSF,multicultural,2006,University of Delaware,The Common Ingroup Identity Model: A Focus on a Dual Identity,9.0,1.0,"$499,658.00",DE,10,2
37,NSF,multicultural,2013,Mrazek Alissa J,NSF East Asia and Pacific Summer Institute (EAPSI) for FY 2013 in Singapore,2.0,3.0,"$5,070.00",IL,10,2
38,NSF,multicultural,2003,San Diego State University Foundation,ITWF: Improving the Participation and Achievement of Students in Diverse Schools by Enhancing Teacher Professional Development in Science and Learning Technologies,12.0,2.0,"$681,205.00",CA,10,2
39,NSF,multicultural,2006,Iowa State University,GSE/RES: Collaborative Research: Potential Recruits in Engineering: A Longitudinal Study of Diverse Academically-able Young Women's Views of Engineering as a Career,9.0,1.0,"$330,954.00",IA,10,2
40,NSF,multicultural,1999,SUNY at Buffalo,PGE/SEP: User-Friendly Science and Math Software for Early Adolescent Girls,16.0,1.0,"$99,920.00",NY,10,2
41,NSF,multicultural,2006,Catholic University of America,"GSE/RES: Gender, Race, and Science: Asian American Women as Model Minority?",9.0,1.0,"$255,679.00",DC,10,2
42,NSF,multicultural,2006,University of Colorado at Boulder,GSE/RES: Collaborative Research: Potential Recruits in Engineering: A Longitudinal Study of Diverse Academically-able Young Women's Views of Engineering as a Career,9.0,1.0,"$262,605.00",CO,10,2
43,NSF,multicultural,2013,University of Michigan Ann Arbor,INSPIRE Track 1: Language-Based Computational Methods for Analyzing Worldviews,2.0,2.0,"$793,206.00",MI,10,2
44,NSF,multicultural,1992,University of Wisconsin-Madison,Enhancement of Minority Student Achievement in the Science Classroom,23.0,1.0,"$487,647.00",WI,10,2
45,NSF,multicultural,1996,New Mexico State University,The Digital Desert Library: Expanding Libraries into Living Laboratories through Cross-Cultural Development,19.0,1.0,"$250,000.00",NM,10,2
46,NSF,multicultural,2005,Northwestern University,SGER: Multicultural Story Listening Systems,10.0,1.0,"$122,779.00",IL,10,2
47,NSF,multicultural,2005,Howard University,A Narrative Approach to Ethics for S&E Graduate Students,10.0,1.0,"$199,999.00",DC,10,2
48,NSF,multicultural,1992,New York City Board of Education,"Science in the SEAMLESS Day: An Interdisciplinary, Urban, Multicultural Enhancement Program for Elementary School Teachers",23.0,2.0,"$2,075,546.00",NY,10,2
49,NSF,multicultural,1990,University of Wisconsin-Madison,A Longitudinal Analysis of Cognitively Guided Instruction and the Primary School,25.0,2.0,"$4,458,291.00",WI,10,2
50,NSF,multicultural,1999,Brown University,Mesolore: A Model for Multicultural and Bi-lingual Education,16.0,1.0,"$185,615.00",RI,10,2
51,NSF,multicultural,1995,University of Colorado at Denver-Downtown Campus,"Engineering, Technology and Culture: with an Emphasis on Race, Gender and the Individual",20.0,1.0,"$64,210.00",CO,10,2
52,NSF,multicultural,1995,CUNY Brooklyn College,"Taking Ownership: Science as Constructive Inquiry (SCI) - An Interdisciplinary, Urban, Multicultural Curriculum Development Program",20.0,1.0,"$226,589.00",NY,10,2
53,NSF,multicultural,1994,University of Vermont & State Agricultural College,GRT in Environmental Biology,21.0,2.0,"$571,100.00",VT,10,2
54,NSF,multicultural,2000,Northern Arizona University,"Computer Science, Engineerinng, and Mathematics Scholarships Program",15.0,1.0,"$495,000.00",AZ,10,2
55,NSF,multicultural,2014,University of Massachusetts Boston,"Science of Broadening Participation: Multiculturalism, Social Networks and Under-Represented Minority Student Success in STEM Fields",1.0,2.0,"$299,991.00",MA,10,2
56,NSF,multicultural,2009,Oklahoma State University,Oklahoma Louis Stokes Alliance for Minority Participation,6.0,4.0,"$2,631,245.00",OK,10,2
57,NSF,multicultural,2010,Colorado State University,RCN-UBE: Rocky Mountain Sustainability and Science Network: Enhancing undergraduate student learning of biological concepts,5.0,1.0,"$583,265.00",CO,10,2
58,NSF,multicultural,2013,Hampton University,Multicultural Diversity in the Aquatic Sciences,2.0,2.0,"$612,000.00",VA,10,2
59,NSF,multicultural,2011,Hampton University,Retrospective evaluation of the effectiveness of the American Society of Limnology and Oceanography Multicultural Program,4.0,1.0,"$138,563.00",VA,10,2
60,NSF,multicultural,1986,Catholic University of America,Dissertation Research: Culture in a Multicultural Setting,29.0,1.0,"$4,151.00",DC,10,2
61,NSF,multicultural,2006,Chesapeake Research Consortium Inc,CEO:P--A Prototype System for Multi-Disciplinary Shared Cyberinfrastructure: Chesapeake Bay Environmental Observatory (CBEO),9.0,2.0,"$2,150,000.00",MD,10,2
62,NSF,multicultural,2007,Pittsburgh Tissue Engineering Initiative,New REU Site: Multicultural Research Experiences for Undergraduates in Structural Tissue Engineering,8.0,2.0,"$299,887.00",PA,10,2
63,NSF,multicultural,2009,University of Colorado at Boulder,REU Site Program in Functional Materials,6.0,1.0,"$300,000.00",CO,10,2
64,NSF,multicultural,2015,University of Massachusetts Amherst,"REU site: Offshore wind energy: Solving the Engineering, Environmental & Socio-Economic Challenges.",0.0,1.0,"$357,920.00",MA,10,2
65,NSF,multicultural,2010,University of Colorado at Boulder,REU Site in Environmental Engineering,5.0,1.0,"$299,995.00",CO,10,2
66,NSF,multicultural,2001,University of Kentucky Research Foundation,The Double Irony of Citizenship: A Comparative/Historical Approach to Studying Naturalization in Advanced Industrialized Countries,14.0,1.0,"$181,402.00",KY,10,2
67,NSF,multicultural,1993,University of Texas at El Paso,Planning Grant on Cross-Racial Eyewitness Identification in the Context of Multi-Racial and Multi-Cultural Change,22.0,1.0,$0.00,TX,10,2
68,NSF,multicultural,1995,University of Texas at El Paso,"Attention, Memory, and Social Perception in a Multicultural Environment",20.0,1.0,"$115,663.00",TX,10,2
69,NSF,multicultural,1992,University of California-Irvine,Dissertation Research: Asian American in Multicultural Subartic America: A Comparative Multivariate Analysis,23.0,1.0,"$12,000.00",CA,10,2
70,NSF,multicultural,2000,University of Southern California,SGER--An Interactive-Teaching Virtual Museum: Implementation of a New Digital Socratic Pedagogy for K-6 Students from a Multi-Cultural Society,15.0,1.0,"$45,003.00",CA,10,2
71,NSF,multicultural,2004,University of Idaho,Scholarships for Computer Science and Mathematics Undergraduates,11.0,1.0,"$396,000.00",ID,10,2
72,NSF,multicultural,2013,University of Michigan Ann Arbor,NeuroCultural Mechanisms of Choice Justification: A Cross-Cultural Imaging Genetics Study,2.0,1.0,"$383,920.00",MI,10,2
73,NSF,multicultural,2009,Marshall University Research Corporation,"ADVANCE Institutional Transformation Award: Advancing Women in Science, Technology, Engineering and Math at Marshall University",6.0,1.0,"$750,000.00",WV,10,2
74,NSF,multicultural,2007,Harvard University,Doctoral Dissertation Research: A Comparative Study of Political Socialization in Religious Groups in the United States and Canada,8.0,1.0,"$7,500.00",MA,10,2
75,NSF,multicultural,2014,Western Washington University,An Imaging Center to support research across multiple scales at the Shannon Point Marine Center,1.0,1.0,"$176,589.00",WA,10,2
76,NSF,multicultural,2009,Pennsylvania State Univ University Park,Multiscale Theory For Semicrystalline Polymers,6.0,2.0,"$270,000.00",PA,10,2
77,NSF,multicultural,2012,University of California-Santa Cruz,WORKSHOP: Medical Pluralism in Multicultural California,3.0,1.0,"$8,346.00",CA,10,2
78,NSF,multicultural,1994,Chicago Children's Museum,Inventing: The Process of Discovery,21.0,1.0,"$244,545.00",IL,10,2
79,NSF,multicultural,2002,New York University,Doctoral Dissertation: Aboriginal Radio: A Political Economy of Speech and Sound in Indigenous Australia,13.0,1.0,"$5,700.00",NY,10,2
80,NSF,multicultural,2003,University of Michigan Ann Arbor,"Dissertation Research: Analysis of Afro-Trinidadians and Indo-Trinidadians, Ethnic Relations through Study of Performances",12.0,1.0,"$9,637.00",MI,10,2
81,NSF,multicultural,2005,Intercultural Center For Research In Education,Community-based Multicultural After-school Science Discovery Program Targeted for Urban Youth,10.0,2.0,"$1,471,188.00",MA,10,2
82,NSF,multicultural,2011,University of Arizona,Doctoral Dissertation Research Improvement Grant: Youth in Debate with the West: Citizenship Within and Beyond the European Classroom,4.0,1.0,"$18,119.00",AZ,10,2
83,NSF,multicultural,2008,CUNY Hunter College,Growth Control Regulated by p53 and Mdm2 on Chromatin,7.0,2.0,"$492,480.00",NY,10,2
84,NSF,multicultural,1998,University of Wisconsin-Eau Claire,Explaining Variation in Minority Identity Among Cambodian and Hmong Refugees in the United States,17.0,1.0,"$61,889.00",WI,10,2
85,NSF,multicultural,1990,Eastern Kentucky University,Multicultural Comparative Study of Social Control after the California Earthquake,25.0,1.0,"$4,896.00",KY,10,2
86,NSF,multicultural,2002,University of Hawaii,"Property, culture and technology: The case of marine aquaculture development in Hawai`i",13.0,2.0,"$127,424.00",HI,10,2
87,NSF,multicultural,2010,University of California-Berkeley,Constituting Knowledge across Cultures of Expertise and Tradition: An Ethnographic Study of Indigenous Technoscientists and Their Collaborators,5.0,1.0,"$101,016.00",CA,10,2
88,NSF,multicultural,1993,Stanford University,Dissertation Research: Ethnic Identities and Nation-Building in Guatemala: Mayan Participation and StateLegitimation Strategies,22.0,1.0,"$8,100.00",CA,10,2
89,NSF,multicultural,1997,Stanford University,"Mapping Interlegality in Chiapas, Mexico",18.0,1.0,"$104,448.00",CA,10,2
90,NSF,multicultural,2004,Texas State University - San Marcos,MRI: Acquisition of Transmission Electron Microscopy Upgrades for Interdisciplinary Materials Research and Education Activities,11.0,1.0,"$200,000.00",TX,10,2
91,NSF,multicultural,1999,University of Utah,POWRE: A Pilot Study of the National Asian American Political Survey,16.0,1.0,"$74,970.00",UT,10,2
92,NSF,multicultural,2008,Virginia Polytechnic Institute and State University,Collaborative Research: Polysaccharide Derivatives for Enhanced Drug Delivery,7.0,2.0,"$210,000.00",VA,10,2
93,NSF,multicultural,2012,University of California-Santa Barbara,Laser mass spectrometer microscopy for analysis of cultural heritage objects,3.0,1.0,"$330,251.00",CA,10,2
94,NSF,multicultural,2012,Georgetown University,II-NEW: Infrastructure for Change: From a Teaching Department to National Prominence,3.0,1.0,"$460,000.00",DC,10,2
95,NSF,multicultural,2007,Fisk University,Computational Study of Reaction Mechanisms for Lithium Carbenoids and Related Species,8.0,1.0,"$140,000.00",TN,10,2
96,NSF,multicultural,1999,University of California-Irvine,CISE-NSF-CNPq Collaboration Research,16.0,1.0,"$150,000.00",CA,10,2
97,NSF,multicultural,2010,University of Texas at El Paso,BPC-AE: Computing Alliance of Hispanic-Serving Institutions,5.0,2.0,"$3,757,533.00",TX,10,2
98,NSF,multicultural,2007,University of Central Florida,International Research Experience for Student (IRES):US-Jordan- In Photovoltaic Based Power Electronics Conversion Systems,8.0,1.0,"$137,033.00",FL,10,2
99,NSF,multicultural,2013,University of California-Berkeley,Moorea Coral Reef Scientific Diving Upgrade,2.0,1.0,"$173,485.00",CA,10,2
100,NSF,multicultural,2011,University of California-Riverside,Comparative genome-scale analyses of submergence and anaerobic germination mechanisms in rice and maize,4.0,1.0,"$699,999.00",CA,10,2
101,NSF,multicultural,2006,University of Arizona,Cell-Surface Glycoconjugates III,9.0,2.0,"$351,000.00",AZ,10,2
102,NSF,multicultural,2015,Northwestern University,IRES: Nanomaterials undergraduate Research in Germany (NanoRING),0.0,1.0,"$249,990.00",IL,10,2
103,NSF,multicultural,2014,University of Denver,Access in Mathematics for All: Increasing the number of diverse and low-income STEM majors who become secondary school mathematics teachers.,1.0,1.0,"$349,971.00",CO,10,2
104,NSF,multicultural,2014,Senft Nicole M,EAPSI: Linking Beliefs about the Social Consequences of Emotions with Emotional Behavior,1.0,3.0,"$5,000.00",DC,10,2
105,NSF,multicultural,2004,Michigan Technological University,SGER-Support for exploratory initial year of campus work for Masters International students in Geological Natural Hazards,11.0,1.0,"$104,244.00",MI,10,2
106,NSF,multicultural,2013,University of Massachusetts Amherst,IRES: Culture and Heritage in European Societies and Spaces (CHESS),2.0,1.0,"$249,861.00",MA,10,2
107,NSF,multicultural,2010,Rensselaer Polytechnic Institute,IRES: International Collaboration on Fabrication and Characterization of Nanocrystalline Bismuth Telluride Materials for Thermoelectric Applications,5.0,1.0,"$149,640.00",NY,10,2
108,NSF,multicultural,2009,Iowa State University,REU Site: Summer Undergraduate Research Experiences in Biogeosciences at Iowa State University,6.0,1.0,"$351,513.00",IA,10,2
109,NSF,multicultural,2010,University of Florida,PIRE: Collaborations with France and Japan on Multiphase Fluid Science and Technologies,5.0,2.0,"$3,107,325.00",FL,10,2
110,NSF,multicultural,2006,Purdue University,The Indiana Interdisciplinary GK-12: Bringing Authentic Problem Solving in STEM to Rural Middle Schools,9.0,2.0,"$1,698,208.00",IN,10,2
111,NSF,multicultural,2011,University of Pennsylvania,International: Student Exchange for Research on Nano/Biotechnology,4.0,1.0,"$136,710.00",PA,10,2
112,NSF,multicultural,2007,Wayne State University,PIRE: A U.S. - Dutch Mass Spectrometry Consortium for Advanced Modeling and Biological Structure and Imaging Applications,8.0,2.0,"$2,500,000.00",MI,10,2
113,NSF,multicultural,2015,Johns Hopkins University,IRES: U.S. - Belgium Bioengineering Collaboration with International Research Experience for Students,0.0,1.0,"$230,808.00",MD,10,2
114,NSF,multicultural,2001,University of Oklahoma Norman Campus,"GK-12: Adventure Engineering: An Inquiry Learning, Design Driven Approach to Middle Grade Science and Mathematics Education",14.0,2.0,"$1,240,038.00",OK,10,2
115,NSF,multicultural,2006,University of Virginia Main Campus,"GSE/RES Beliefs, Behavior, Belonging: The Role of Perceptions, Supports and Student Engagement in Predicting STEM-Related Interests in Early-Adolescent Girls and Minority Youth",9.0,2.0,"$499,841.00",VA,10,2
116,NSF,multicultural,2008,Utah State University,"Conference: Student Travel and Activities Grant: International Society for Salt Lake Research Conference, May 11 -17, 2008, Salt Lake City, Utah",7.0,1.0,"$9,100.00",UT,10,2
117,NSF,multicultural,2012,University of Massachusetts Lowell,Materials World Network: Collaborative Research: Understanding the Optical Response of Designer Epsilon-Near-Zero Materials,3.0,2.0,"$239,998.00",MA,10,2
118,NSF,multicultural,2015,Wolfgang Angie,An Unexpected Planet Population: How Did Super-Earths Acquire Their Currently Observed Properties?,0.0,3.0,"$89,000.00",CA,10,2
119,NSF,multicultural,2014,CUNY City College,Conformational dynamics and regulatory interactions in a bacteriophage RNA polymerase complex,1.0,2.0,"$911,750.00",NY,10,2
120,NSF,multicultural,2009,Utah State University,Collaborative Research: Molecular-genetic Basis of Parallel Adaptation Driven by Coevolutionary Interactions,6.0,1.0,"$366,500.00",UT,10,2
121,NSF,multicultural,1996,Yale University,Dissertation Research: Language and Social Change in Post-Apartheid South Africa,19.0,1.0,"$3,225.00",CT,10,2
122,NSF,multicultural,2008,Bismarck State College,"Engage, Connect, and Deliver STEM Scholars",7.0,1.0,"$597,540.00",ND,10,2
123,NSF,multicultural,2009,Yale University,"ULTRA-Ex: Human-Nature Interactions in an Urbanized Island Setting: Hilo and Kailua-Kona, Hawai'i as Model Socio-Ecological Systems",6.0,1.0,"$145,416.00",CT,10,2
124,NSF,multicultural,2013,Stanford University,UNCODE: Uncovering Hidden Cognitive Demands on Global Learners,2.0,1.0,"$254,353.00",CA,10,2
125,NSF,multicultural,2005,Clarkson University,REU Site: Environmental Sciences and Engineering at Clarkson University,10.0,1.0,"$280,000.00",NY,10,2
126,NSF,multicultural,1998,Clarkson University,Research Experiences for Undergraduates: Environmental Science and Engineering at Clarkson University,17.0,2.0,"$208,558.00",NY,10,2
127,NSF,multicultural,2014,Kansas State University,EAGER: Control and mitigation of frost formation using mixed hydrophilic and hydrophobic surfaces,1.0,1.0,"$88,332.00",KS,10,2
128,NSF,multicultural,1996,Chabot Space and Science Center,EPWG: F.I.R.S.T. Female Involvement in Real Science Technology,19.0,2.0,"$796,275.00",CA,10,2
129,NSF,multicultural,1996,Girl Scouts of Mid-Continent Council,"EPWG: Plugged In: An Interactive Program Designed to Advance the Scientific, Mathematic and Computer Literacy of Girls",19.0,2.0,"$603,073.00",MO,10,2
130,NSF,multicultural,2008,Northeastern University,All-Dielectric Metamaterial Imaging Device,7.0,1.0,"$299,978.00",MA,10,2
131,NSF,multicultural,2012,Northeastern University,New Methods of Fault Simulation and Location for Smart Grids Based on Synchronized Measurements,3.0,1.0,"$400,000.00",MA,10,2
132,NSF,multicultural,2012,Ohio State University,Systems Approaches to Identify Gene Regulatory Networks in the Grasses,3.0,2.0,"$4,234,908.00",OH,10,2
133,NSF,multicultural,2000,University of Pennsylvania,PGE/LCP : Agents for Change: Robotics for Girls,15.0,2.0,"$874,767.00",PA,10,2
134,NSF,multicultural,2003,Northeastern University,EPNES: Collaborative Research: Power System Security Enhancement via Equilibrium Modeling and Environmental Assessment,12.0,1.0,"$232,890.00",MA,10,2
135,NSF,multicultural,2009,University of Pennsylvania,Nanorod Assembly in Polymer Matrices,6.0,1.0,"$813,250.00",PA,10,2
136,NSF,multicultural,2010,Washington State University,Collaborative: Investigation of Electrocatalytic Trends on Core/Shell Structured Palladium Bimetallic Surfaces for Renewable Energy Research,5.0,2.0,"$217,409.00",WA,10,2
