Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost ,FY Total Cost  (Sub Projects)
BEHAVIORAL TECHNOLOGIES FOR PREDICTING HIV RISK,NIDA,8655526,5R01DA018647-10,5,R01,DA,18647,10,,,6834711,"LEJUEZ, CARL W",Not Applicable,"UNIV OF MARYLAND, COLLEGE PARK", ,2014,509741,
BEHAVIORAL TECHNOLOGIES FOR PREDICTING HIV RISK,NIDA,8657514,3R01DA018647-09S1,3,R01,DA,18647,9,S1,,6834711,"LEJUEZ, CARL W",Not Applicable,"UNIV OF MARYLAND, COLLEGE PARK", ,2013,7020,
BEHAVIORAL TECHNOLOGIES FOR PREDICTING HIV RISK,NIDA,8458624,5R01DA018647-09,5,R01,DA,18647,9,,,6834711,"LEJUEZ, CARL W",Not Applicable,"UNIV OF MARYLAND, COLLEGE PARK", ,2013,625015,
BEHAVIORAL TECHNOLOGIES FOR PREDICTING HIV RISK,NIDA,8433758,3R01DA018647-08S1,3,R01,DA,18647,8,S1,,6834711,"LEJUEZ, CARL W",Not Applicable,"UNIV OF MARYLAND, COLLEGE PARK", ,2012,69604,
BEHAVIORAL TECHNOLOGIES FOR PREDICTING HIV RISK,NIDA,8262392,5R01DA018647-08,5,R01,DA,18647,8,,,6834711,"LEJUEZ, CARL W",Not Applicable,"UNIV OF MARYLAND, COLLEGE PARK", ,2012,581917,
BEHAVIORAL TECHNOLOGIES FOR PREDICTING HIV RISK,NIDA,8112521,5R01DA018647-07,5,R01,DA,18647,7,,,6834711,"LEJUEZ, CARL W",Not Applicable,"UNIV OF MARYLAND, COLLEGE PARK", ,2011,582272
BEHAVIORAL TECHNOLOGIES FOR PREDICTING HIV RISK,NIDA,8011892,2R01DA018647-06A1,2,R01,DA,18647,6,A1,,6834711,"LEJUEZ, CARL W",Not Applicable,"UNIV OF MARYLAND, COLLEGE PARK", ,2010,525767
CHILDREN'S CONCEPTIONS OF AIDS & RELATED RISKY BEHAVIORS,NIDA,2882579,5R01DA007047-10,5,R01,DA,7047,10,,,1901829,"WELLS, ELIZABETH A",Not Applicable,UNIVERSITY OF WASHINGTON, ,1999,329418
CHILDREN'S CONCEPTIONS OF AIDS & RELATED RISKY BEHAVIORS,NIDA,2668131,5R01DA007047-09,5,R01,DA,7047,9,,,1901829,"WELLS, ELIZABETH A",Not Applicable,UNIVERSITY OF WASHINGTON, ,1998,419390
CHILDREN'S CONCEPTIONS OF AIDS & RELATED RISKY BEHAVIORS,NIDA,2377376,5R01DA007047-08,5,R01,DA,7047,8,,,1901829,"WELLS, ELIZABETH A",Not Applicable,UNIVERSITY OF WASHINGTON, ,1997,407722
CHILDREN'S CONCEPTIONS OF AIDS & RELATED RISKY BEHAVIORS,NIDA,2119326,2R01DA007047-06,2,R01,DA,7047,6,,,1901829,"WELLS, ELIZABETH A",Not Applicable,UNIVERSITY OF WASHINGTON, ,1995,385819
