CHINESE HEALTH AND AGING PROJECT: BUILDING SUPPORT THROUGH COMMUNITY ENGAGEMENT,NIA,8323236,5R21AG038815-02,5,R21,AG,38815,2,,,8523881,"DONG, XINQI ",Not Applicable,RUSH UNIVERSITY MEDICAL CENTER, ,2012,145188
CHINESE HEALTH AND AGING PROJECT: BUILDING SUPPORT THROUGH COMMUNITY ENGAGEMENT,NIA,8189252,1R21AG038815-01A1,1,R21,AG,38815,1,A1,,8523881,"DONG, XINQI ",Not Applicable,RUSH UNIVERSITY MEDICAL CENTER, ,2011,187703
BUILDING RESEARCH INFRASTRUCTURE & NETWORK IN CHICAGO CHINATOWN,NIA,8004535,1RC4AG039085-01,1,RC4,AG,39085,1,,,8523881,"DONG, XINQI ",Not Applicable,RUSH UNIVERSITY MEDICAL CENTER,YES,2010,998229
FILIAL PIETY AND PSYCHOSOCIAL WELL-BEING IN CHINESE POPULATION,NIMHD,8795104,5R01MD006173-04,5,R01,MD,6173,4,,,8523881,"DONG, XINQI ",Not Applicable,RUSH UNIVERSITY MEDICAL CENTER, ,2015,334373
FILIAL PIETY AND PSYCHOSOCIAL WELL-BEING IN CHINESE POPULATION,NIMHD,8607993,5R01MD006173-03,5,R01,MD,6173,3,,,8523881,"DONG, XINQI ",Not Applicable,RUSH UNIVERSITY MEDICAL CENTER, ,2014,335397
FILIAL PIETY AND PSYCHOSOCIAL WELL-BEING IN CHINESE POPULATION,NIMHD,8449591,5R01MD006173-02,5,R01,MD,6173,2,,,8523881,"DONG, XINQI ",Not Applicable,RUSH UNIVERSITY MEDICAL CENTER, ,2013,319194
FILIAL PIETY AND PSYCHOSOCIAL WELL-BEING IN CHINESE POPULATION,NIMHD,8278824,1R01MD006173-01A1,1,R01,MD,6173,1,A1,,8523881,"DONG, XINQI ",Not Applicable,RUSH UNIVERSITY MEDICAL CENTER, ,2012,360347
SUICIDE PREVENTION IN CHINESE OLDER ADULTS,NIMH,8843963,5R34MH100443-02,5,R34,MH,100443,2,,,8523881,"DONG, XINQI  ","SIMON, MELISSA ANDREA",RUSH UNIVERSITY MEDICAL CENTER, ,2015,202456
SUICIDE PREVENTION IN CHINESE OLDER ADULTS,NIMH,8635840,1R34MH100443-01A1,1,R34,MH,100443,1,A1,,8523881,"DONG, XINQI  ","SIMON, MELISSA ANDREA",RUSH UNIVERSITY MEDICAL CENTER, ,2014,215706
CULTURE AND CAREGIVING NEED FOR CHINESE ELDERLY WITH COGNITIVE IMPAIRMENT,NINR,8815573,1R01NR014846-01A1,1,R01,NR,14846,1,A1,,8523881,"DONG, XINQI ",Not Applicable,RUSH UNIVERSITY MEDICAL CENTER, ,2015,669165
INNOVATIVE NUTRITION COMMUNICATION FOR LATINOS,NCI,6513588,5R01CA081877-04,5,R01,CA,81877,4,,,1871746,"ELDER, JOHN P",Not Applicable,SAN DIEGO STATE UNIVERSITY, ,2002,651711
INNOVATIVE NUTRITION COMMUNICATION FOR LATINOS,NCI,6362716,5R01CA081877-03,5,R01,CA,81877,3,,,1871746,"ELDER, JOHN P",Not Applicable,SAN DIEGO STATE UNIVERSITY, ,2001,692726
INNOVATIVE NUTRITION COMMUNICATION FOR LATINOS,NCI,6441412,3R01CA081877-02S1,3,R01,CA,81877,2,S1,,1871746,"ELDER, JOHN P",Not Applicable,SAN DIEGO STATE UNIVERSITY, ,2001,2356
INNOVATIVE NUTRITION COMMUNICATION FOR LATINOS,NCI,6164317,5R01CA081877-02,5,R01,CA,81877,2,,,1871746,"ELDER, JOHN P",Not Applicable,SAN DIEGO STATE UNIVERSITY, ,2000,601537
INNOVATIVE NUTRITION COMMUNICATION FOR LATINOS,NCI,2869164,1R01CA081877-01,1,R01,CA,81877,1,,,1871746,"ELDER, JOHN P",Not Applicable,SAN DIEGO STATE UNIVERSITY, ,1999,451650
MULTIFACETED ONCOLOGY DEPRESSION PROGRAM FOR LATINOS,NCI,7361776,3R01CA105269-04S1,3,R01,CA,105269,4,S1,,2267636,"ELL, KATHLEEN R",Not Applicable,UNIVERSITY OF SOUTHERN CALIFORNIA, ,2007,60468
MULTIFACETED ONCOLOGY DEPRESSION PROGRAM FOR LATINOS,NCI,7178516,5R01CA105269-04,5,R01,CA,105269,4,,,2267636,"ELL, KATHLEEN R",Not Applicable,UNIVERSITY OF SOUTHERN CALIFORNIA, ,2007,561599
MULTIFACETED ONCOLOGY DEPRESSION PROGRAM FOR LATINOS,NCI,7178349,3R01CA105269-03S1,3,R01,CA,105269,3,S1,,2267636,"ELL, KATHLEEN R",Not Applicable,UNIVERSITY OF SOUTHERN CALIFORNIA, ,2006,59881
MULTIFACETED ONCOLOGY DEPRESSION PROGRAM FOR LATINOS,NCI,7067227,5R01CA105269-03,5,R01,CA,105269,3,,,2267636,"ELL, KATHLEEN R",Not Applicable,UNIVERSITY OF SOUTHERN CALIFORNIA, ,2006,636980
MULTIFACETED ONCOLOGY DEPRESSION PROGRAM FOR LATINOS,NCI,7124488,3R01CA105269-02S1,3,R01,CA,105269,2,S1,,2267636,"ELL, KATHLEEN R",Not Applicable,UNIVERSITY OF SOUTHERN CALIFORNIA, ,2005,34001
MULTIFACETED ONCOLOGY DEPRESSION PROGRAM FOR LATINOS,NCI,6878645,5R01CA105269-02,5,R01,CA,105269,2,,,2267636,"ELL, KATHLEEN R",Not Applicable,UNIVERSITY OF SOUTHERN CALIFORNIA, ,2005,659874
MULTIFACETED ONCOLOGY DEPRESSION PROGRAM FOR LATINOS,NCI,6712397,1R01CA105269-01,1,R01,CA,105269,1,,,2267636,"ELL, KATHLEEN R",Not Applicable,UNIVERSITY OF SOUTHERN CALIFORNIA, ,2004,663091
MULTIFACETED DEPRESSION DIABETES PROGRAM FOR HISPANICS,NIMH,7342771,5R01MH068468-04,5,R01,MH,68468,4,,,2267636,"ELL, KATHLEEN R",Not Applicable,UNIVERSITY OF SOUTHERN CALIFORNIA, ,2008,683969
MULTIFACETED DEPRESSION DIABETES PROGRAM FOR HISPANICS,NIMH,7171533,5R01MH068468-03,5,R01,MH,68468,3,,,2267636,"ELL, KATHLEEN R",Not Applicable,UNIVERSITY OF SOUTHERN CALIFORNIA, ,2007,823406
MULTIFACETED DEPRESSION DIABETES PROGRAM FOR HISPANICS,NIMH,7232490,3R01MH068468-02S1,3,R01,MH,68468,2,S1,,2267636,"ELL, KATHLEEN R",Not Applicable,UNIVERSITY OF SOUTHERN CALIFORNIA, ,2006,113073
MULTIFACETED DEPRESSION DIABETES PROGRAM FOR HISPANICS,NIMH,7012279,5R01MH068468-02,5,R01,MH,68468,2,,,2267636,"ELL, KATHLEEN R",Not Applicable,UNIVERSITY OF SOUTHERN CALIFORNIA, ,2006,714393
MULTIFACETED DEPRESSION DIABETES PROGRAM FOR HISPANICS,NIMH,6865322,1R01MH068468-01A2,1,R01,MH,68468,1,A2,,2267636,"ELL, KATHLEEN R",Not Applicable,UNIVERSITY OF SOUTHERN CALIFORNIA, ,2005,729792
THEORETICAL ISSUES IN SIGN LANGUAGE RESEARCH,NIDCD,3434428,1R13DC001383-01,1,R13,DC,1383,1,,,1880425,"EMMOREY, KAREN ",Not Applicable,SALK INSTITUTE FOR BIOLOGICAL STUDIES, ,1992,40535
MENTAL HEALTH RESEARCH DEVELOPMENT,NIMH,2430935,5R24MH047167-06,5,R24,MH,47167,6,,,1891063,"GOGGIN, JUDITH P",Not Applicable,UNIVERSITY OF TEXAS EL PASO, ,1997,559682
MENTAL HEALTH RESEARCH DEVELOPMENT,NIMH,2247445,2R24MH047167-04A1,2,R24,MH,47167,4,A1,,1891063,"GOGGIN, JUDITH P",Not Applicable,UNIVERSITY OF TEXAS EL PASO, ,1995,465240
ADM RESEARCH DEVELOPMENT AT THE UNIV OF TEXAS AT EL PASO,NIMH,3450384,5R24MH047167-03,5,R24,MH,47167,3,,,1891063,"GOGGIN, JUDITH P",Not Applicable,UNIVERSITY OF TEXAS EL PASO, ,1992,505226
LIFESTYLE AND OVARIAN FUNCTION IN MID-LIFE WOMEN,NIA,2712136,5U01AG012554-05,5,U01,AG,12554,5,,,6439249,"GOLD, ELLEN B",Not Applicable,UNIVERSITY OF CALIFORNIA DAVIS, ,1998,395390
LIFESTYLE AND OVARIAN FUNCTION IN MID-LIFE WOMEN,NIA,2429294,5U01AG012554-04,5,U01,AG,12554,4,,,6439249,"GOLD, ELLEN B",Not Applicable,UNIVERSITY OF CALIFORNIA DAVIS, ,1997,521880
LIFESTYLE AND OVARIAN FUNCTION IN MID-LIFE WOMEN,NIA,2054219,5U01AG012554-02,5,U01,AG,12554,2,,,6439249,"GOLD, ELLEN B",Not Applicable,UNIVERSITY OF CALIFORNIA DAVIS, ,1995,574841
LIFESTYLE AND OVARIAN FUNCTION IN MID-LIFE WOMEN,NIA,2054218,1U01AG012554-01,1,U01,AG,12554,1,,,6439249,"GOLD, ELLEN B",Not Applicable,UNIVERSITY OF CALIFORNIA DAVIS, ,1994,344615
CULTURE SPECIFIC MODELS OF MEN'S AGGRESSION,NIMH,6528508,5R01MH058726-03,5,R01,MH,58726,3,,,1960127,"HALL, GORDON C",Not Applicable,UNIVERSITY OF OREGON, ,2002,385122
CULTURE SPECIFIC MODELS OF MEN'S AGGRESSION,NIMH,6392383,7R01MH058726-02,7,R01,MH,58726,2,,,1960127,"HALL, GORDON C",Not Applicable,UNIVERSITY OF OREGON, ,2001,367969
CULTURE SPECIFIC MODELS OF MEN'S AGGRESSION,NIMH,6129361,1R01MH058726-01A2,1,R01,MH,58726,1,A2,,1960127,"HALL, GORDON C",Not Applicable,PENNSYLVANIA STATE UNIVERSITY-UNIV PARK, ,2000,352879
LATINA MOTHERS' COPING PROCESSES WHILE THEIR YOUNG ADULT SONS ARE INCARCERATED,NINR,8330968,5F31NR012862-02,5,F31,NR,12862,2,,,10195526,"HAYES-BAUTISTA, TEODOCIA MARIA",Not Applicable,UNIVERSITY OF CALIFORNIA LOS ANGELES, ,2012,36799
LATINA MOTHERS' COPING PROCESSES WHILE THEIR YOUNG ADULT SONS ARE INCARCERATED,NINR,8122814,1F31NR012862-01,1,F31,NR,12862,1,,,10195526,"HAYES-BAUTISTA, TEODOCIA MARIA",Not Applicable,UNIVERSITY OF CALIFORNIA LOS ANGELES, ,2011,36367
AMERICAN INDIAN MS TO PHD NURSING SCIENCE BRIDGE,NIGMS,6333619,1R25GM063249-01,1,R25,GM,63249,1,,,1903841,"HENLY, SUSAN J",Not Applicable,UNIVERSITY OF MINNESOTA TWIN CITIES, ,2001,620070
PLANT FOODS AND ENDOMETRIAL CANCER EPIDEMIOLOGY,NCI,6951557,5R03CA110929-02,5,R03,CA,110929,2,,,1861220,"HORN-ROSS, PAMELA L",Not Applicable,CANCER PREVENTION INSTIT OF CALIFORNIA, ,2005,69700
PLANT FOODS AND ENDOMETRIAL CANCER EPIDEMIOLOGY,NCI,6887937,1R03CA110929-01A1,1,R03,CA,110929,1,A1,,1861220,"HORN-ROSS, PAMELA L",Not Applicable,CANCER PREVENTION INSTIT OF CALIFORNIA, ,2004,69700
NINOS SANOS--REDUCING ETS EXPOSURE IN LATINO ASTHMATICS,NHLBI,6017271,5R01HL052835-04,5,R01,HL,52835,4,,,1858256,"HOVELL, MELBOURNE F",Not Applicable,SAN DIEGO STATE UNIVERSITY, ,1999,596836
NINOS SANOS--REDUCING ETS EXPOSURE IN LATINO ASTHMATICS,NHLBI,2861691,3R01HL052835-03S1,3,R01,HL,52835,3,S1,,1858256,"HOVELL, MELBOURNE F",Not Applicable,SAN DIEGO STATE UNIVERSITY, ,1998,9204
NINOS SANOS--REDUCING ETS EXPOSURE IN LATINO ASTHMATICS,NHLBI,2714070,5R01HL052835-03,5,R01,HL,52835,3,,,1858256,"HOVELL, MELBOURNE F",Not Applicable,SAN DIEGO STATE UNIVERSITY, ,1998,799985
NINOS SANOS--REDUCING ETS EXPOSURE IN LATINO ASTHMATICS,NHLBI,2430756,5R01HL052835-02,5,R01,HL,52835,2,,,1858256,"HOVELL, MELBOURNE F",Not Applicable,SAN DIEGO STATE UNIVERSITY, ,1997,776013
AHEC SPECIAL INITIATIVES,DM,BHP,3561411,5U76PE000499-02,5,U76,PE,499,2,,,1958286,"HUPPERT, MICHAEL E",Not Applicable,UNIV OF MASSACHUSETTS MED SCH WORCESTER, ,1993
AHEC SPECIAL INITIATIVES,DM,BHP,3561410,1U76PE000499-01,1,U76,PE,499,1,,,1958286,"HUPPERT, MICHAEL E",Not Applicable,UNIV OF MASSACHUSETTS MED SCH WORCESTER, ,1992,
CANCER CONTROL IN A VIETNAMESE AMERICAN POPULATION,NCI,6633454,5R01CA082326-04,5,R01,CA,82326,4,,,1986699,"JACKSON, JONATHAN CAREY",Not Applicable,UNIVERSITY OF WASHINGTON, ,2003,343725,
CANCER CONTROL IN A VIETNAMESE AMERICAN POPULATION,NCI,6514065,5R01CA082326-03,5,R01,CA,82326,3,,,1986699,"JACKSON, JONATHAN CAREY",Not Applicable,UNIVERSITY OF WASHINGTON, ,2002,388029,
CANCER CONTROL IN A VIETNAMESE AMERICAN POPULATION,NCI,6402514,5R01CA082326-02,5,R01,CA,82326,2,,,1986699,"JACKSON, JONATHAN CAREY",Not Applicable,UNIVERSITY OF WASHINGTON, ,2001,444327,
CANCER CONTROL IN A VIETNAMESE AMERICAN POPULATION,NCI,6132515,1R01CA082326-01A1,1,R01,CA,82326,1,A1,,1986699,"JACKSON, JONATHAN CAREY",Not Applicable,UNIVERSITY OF WASHINGTON, ,2000,328338,
BREAST CANCER RISK FACTORS IN HISPANIC WOMEN,NCI,2712690,5R01CA063446-04,5,R01,CA,63446,4,,,1868390,"JOHN, ESTHER M",Not Applicable,NORTHERN CALIFORNIA CANCER CENTER, ,1998,340578,
BREAST CANCER RISK FACTORS IN HISPANIC WOMEN,NCI,2429804,5R01CA063446-03,5,R01,CA,63446,3,,,1868390,"JOHN, ESTHER M",Not Applicable,NORTHERN CALIFORNIA CANCER CENTER, ,1997,326811,
BREAST CANCER RISK FACTORS IN HISPANIC WOMEN,NCI,2105302,1R01CA063446-01A2,1,R01,CA,63446,1,A2,,1868390,"JOHN, ESTHER M",Not Applicable,NORTHERN CALIFORNIA CANCER CENTER, ,1995,333145,
SOUTHEAST ASIAN WOMEN'S HEALTH PROJECT,NCI,8788698,5R03CA175464-02,5,R03,CA,175464,2,,,11166901,"KUE, JENNIFER ",Not Applicable,OHIO STATE UNIVERSITY, ,2015,77000,
SOUTHEAST ASIAN WOMEN'S HEALTH PROJECT,NCI,8637352,1R03CA175464-01A1,1,R03,CA,175464,1,A1,,11166901,"KUE, JENNIFER ",Not Applicable,OHIO STATE UNIVERSITY, ,2014,76875,
INFORMING LATINAS ABOUT MEDICATIONS TO REDUCE RISK FOR BREAST CANCER,AHRQ,8009542,1R18HS019264-01,1,R18,HS,19264,1,,,2211929,"LARA, MARIELENA ",Not Applicable,RAND CORPORATION,YES,2010,,
PATHWAYS TO EARLY CANCER DETECTION FOR CHINESE AMERICANS,NCI,6237218,3P01CA055112-04S1,3,P01,CA,55112,4,S1,5,1991535,"LEE, MARION M",Not Applicable,NORTHERN CALIFORNIA CANCER CENTER, ,1997,,15908
CULTURALLY-SENSITIVE WEIGHT LOSS INTERVENTION FOR WOMEN OF MEXICAN ORIGIN,NHLBI,7862483,5R21HL094965-02,5,R21,HL,94965,2,,,8644509,"LINDBERG, NANGEL M",Not Applicable,KAISER FOUNDATION RESEARCH INSTITUTE, ,2010,237000,
CULTURALLY-SENSITIVE WEIGHT LOSS INTERVENTION FOR WOMEN OF MEXICAN ORIGIN,NHLBI,7660227,1R21HL094965-01A1,1,R21,HL,94965,1,A1,,8644509,"LINDBERG, NANGEL M",Not Applicable,KAISER FOUNDATION RESEARCH INSTITUTE, ,2009,197500,
BREAST CANCER EARLY DETECTION INTERVENTION AT COMMUNITY HEALTH CENTERS IN CHINA,FIC,8842222,5R03TW009406-03,5,R03,TW,9406,3,,,6255019,"MA, GRACE X",Not Applicable,TEMPLE UNIV OF THE COMMONWEALTH, ,2015,51030,
BREAST CANCER EARLY DETECTION INTERVENTION AT COMMUNITY HEALTH CENTERS IN CHINA,FIC,8655569,5R03TW009406-02,5,R03,TW,9406,2,,,6255019,"MA, GRACE X",Not Applicable,TEMPLE UNIV OF THE COMMONWEALTH, ,2014,51030,
BREAST CANCER EARLY DETECTION INTERVENTION AT COMMUNITY HEALTH CENTERS IN CHINA,FIC,8410608,1R03TW009406-01,1,R03,TW,9406,1,,,6255019,"MA, GRACE X",Not Applicable,TEMPLE UNIV OF THE COMMONWEALTH, ,2013,56880,
CULTURAL EQUIVALENCE OF AUTISM ASSESSMENT FOR LATINO CHILDREN,NICHD,8207862,5R03HD064828-02,5,R03,HD,64828,2,,,1919737,"MAGANA, SANDRA M",Not Applicable,UNIVERSITY OF WISCONSIN-MADISON, ,2012,27250,
CULTURAL EQUIVALENCE OF AUTISM ASSESSMENT FOR LATINO CHILDREN,NICHD,8048564,1R03HD064828-01A1,1,R03,HD,64828,1,A1,,1919737,"MAGANA, SANDRA M",Not Applicable,UNIVERSITY OF WISCONSIN-MADISON, ,2011,74250,
BAILA: BEING ACTIVE; INCREASING LATINOS HEALTHY AGING,NINR,8878071,5R01NR013151-04,5,R01,NR,13151,4,,,6605359,"MARQUEZ, DAVID X",Not Applicable,UNIVERSITY OF ILLINOIS AT CHICAGO, ,2015,397314,
BAILA: BEING ACTIVE; INCREASING LATINOS HEALTHY AGING,NINR,8670570,5R01NR013151-03,5,R01,NR,13151,3,,,6605359,"MARQUEZ, DAVID X",Not Applicable,UNIVERSITY OF ILLINOIS AT CHICAGO, ,2014,398091,
BAILA: BEING ACTIVE; INCREASING LATINOS HEALTHY AGING,NINR,8539853,5R01NR013151-02,5,R01,NR,13151,2,,,6605359,"MARQUEZ, DAVID X",Not Applicable,UNIVERSITY OF ILLINOIS AT CHICAGO, ,2013,408523,
BAILA: BEING ACTIVE; INCREASING LATINOS HEALTHY AGING,NINR,8210788,1R01NR013151-01,1,R01,NR,13151,1,,,6605359,"MARQUEZ, DAVID X",Not Applicable,UNIVERSITY OF ILLINOIS AT CHICAGO, ,2012,449853,
A MODEL FOR INCLUSION OF MINORITIES IN GENETIC RESEARCH,NHGRI,7690951,5R03HG005043-02,5,R03,HG,5043,2,,,9544226,"MARTINEZ, IRENE ",Not Applicable,"FIESTA EDUCATIVA, INC.", ,2009,30000,
A MODEL FOR INCLUSION OF MINORITIES IN GENETIC RESEARCH,NHGRI,7668307,1R03HG005043-01,1,R03,HG,5043,1,,,9544226,"MARTINEZ, IRENE ",Not Applicable,"FIESTA EDUCATIVA, INC.", ,2008,30000,
CAPACITY BUILDING FOR PUBLIC EDUCATION,NCI,2700585,5R25CA065751-04,5,R25,CA,65751,4,,,1894089,"MEISTER, JOEL S",Not Applicable,"MARIPOSA COMMUNITY HEALTH CENTER, INC.", ,1998,198938,
CAPACITY BUILDING FOR PUBLIC EDUCATION,NCI,2414357,5R25CA065751-03,5,R25,CA,65751,3,,,1894089,"MEISTER, JOEL S",Not Applicable,"MARIPOSA COMMUNITY HEALTH CENTER, INC.", ,1997,188038,
CAPACITY BUILDING FOR PUBLIC EDUCATION,NCI,2108864,1R25CA065751-01,1,R25,CA,65751,1,,,1894089,"MEISTER, JOEL S",Not Applicable,"MARIPOSA COMMUNITY HEALTH CENTER, INC.", ,1995,178151,
LONG-TERM CARE DECISION-MAKING AMONG KOREAN AMER ELDERLY,AHRQ,6200296,1R03HS010785-01,1,R03,HS,10785,1,,,6423827,"MIN, JONG WON ",Not Applicable,UNIVERSITY OF CALIFORNIA LOS ANGELES, ,2000,,
