----------------------------------------------------------------------------------Search Criteria: Text Search: multiethnic (and);Search in: Projects 		AdminIC: All; Fiscal Year: All Fiscal Years----------------------------------------------------------------------------------Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost ,FY Total Cost  (Sub Projects),
"PHYSICAL ACTIVITY IN WOMEN WITH INFANTS",NCI,"7258559",1R01CA115614-01A2,1,R01,CA,115614,01,A2,,"8362856","ALBRIGHT, CHERYL LYNN",Not Applicable,"UNIVERSITY OF HAWAII AT MANOA", ,2007,519195,
"A HOME EXERCISE PROGRAM (DVD) FOR WOMEN WITH INFANTS AND YOUNG CHILDREN",NHLBI,"7536127",1R41HL091592-01A1,1,R41,HL,091592,01,A1,,"8362856","ALBRIGHT, CHERYL LYNN",Not Applicable,"KLEIN BUENDEL, INC.", ,2008,198162,
"UNIV OF GUAM/CANCER RES CENTER OF HAWAII PARTNERSHIP",NCI,"7124632",5U56CA096278-04,5,U56,CA,096278,04,,,"7258567","ALLEN, HAROLD L",Not Applicable,"UNIVERSITY OF GUAM", ,2006,456352,
"UNIV OF GUAM/CANCER RES CENTER OF HAWAII PARTNERSHIP",NCI,"6935983",5U56CA096278-03,5,U56,CA,096278,03,,,"7258567","ALLEN, HAROLD L",Not Applicable,"UNIVERSITY OF GUAM", ,2005,495058,
"UNIV OF GUAM/CANCER RES CENTER OF HAWAII PARTNERSHIP",NCI,"6795851",5U56CA096278-02,5,U56,CA,096278,02,,,"7258567","ALLEN, HAROLD L",Not Applicable,"UNIVERSITY OF GUAM", ,2004,480637,
"UNIV OF GUAM/CANCER RES CENTER OF HAWAII PARTNERSHIP",NCI,"6648170",1U56CA096278-01A1,1,U56,CA,096278,01,A1,,"7258567","ALLEN, HAROLD L",Not Applicable,"UNIVERSITY OF GUAM", ,2003,472016,
"MULTIETHNIC STUDY OF TYPE 2 DIABETES GENES",NIDDK,"8880410",3U01DK085526-06S1,3,U01,DK,085526,06,S1,,"8035116","ALTSHULER, DAVID  ","JABLONSKI, KATHLEEN ANN;MEIGS, JAMES B;WILSON, JAMES GRAHAM","BROAD INSTITUTE, INC.", ,2014,632381,
"MULTIETHNIC STUDY OF TYPE 2 DIABETES GENES",NIDDK,"8321606",5U01DK085526-05,5,U01,DK,085526,05,,,"8035116","ALTSHULER, DAVID  ","JABLONSKI, KATHLEEN ANN;MEIGS, JAMES B;WILSON, JAMES GRAHAM","BROAD INSTITUTE, INC.", ,2012,2343403,
"MULTIETHNIC STUDY OF TYPE 2 DIABETES GENES",NIDDK,"8142007",5U01DK085526-04,5,U01,DK,085526,04,,,"8035116","ALTSHULER, DAVID  ","JABLONSKI, KATHLEEN ANN;MEIGS, JAMES B;WILSON, JAMES GRAHAM","BROAD INSTITUTE, INC.", ,2011,2656555,
"MULTIETHNIC STUDY OF TYPE 2 DIABETES GENES",NIDDK,"8131994",3U01DK085526-03S1,3,U01,DK,085526,03,S1,,"8035116","ALTSHULER, DAVID  ","JABLONSKI, KATHLEEN ANN;MEIGS, JAMES B;WILSON, JAMES GRAHAM","BROAD INSTITUTE, INC.",YES,2010,2200000,
"MULTIETHNIC STUDY OF TYPE 2 DIABETES GENES",NIDDK,"7988199",5U01DK085526-03,5,U01,DK,085526,03,,,"8035116","ALTSHULER, DAVID  ","JABLONSKI, KATHLEEN ANN;MEIGS, JAMES B;WILSON, JAMES GRAHAM","BROAD INSTITUTE, INC.", ,2010,2542751,
"MULTIETHNIC STUDY OF TYPE 2 DIABETES GENES",NIDDK,"7983480",6U01DK085526-02,6,U01,DK,085526,02,,,"8035116","ALTSHULER, DAVID  ","JABLONSKI, KATHLEEN ANN;MEIGS, JAMES B;WILSON, JAMES GRAHAM","BROAD INSTITUTE, INC.", ,2009,2753541,
"BEHAVIORAL INTERVENTION IN MULTIETHNIC SYMPTOMATIC HIV-INFECTED GAY MEN",NIMH,"5214831",5P01MH049548-04,5,P01,MH,049548,04,,0002,"3353781","ANTONI, MICHAEL H",Not Applicable,"", ,1996,,,,,
"BEHAVIORAL INTERVENTION IN MULTIETHNIC SYMPTOMATIC HIV-INFECTED GAY MEN",NIMH,"6243212",5P01MH049548-05,5,P01,MH,049548,05,,0002,"1897094","ANTONI, MICHAEL HOWARD",Not Applicable,"UNIVERSITY OF MIAMI SCHOOL OF MEDICINE", ,1997,,208786
"MAXIMIZING THE IMPACT OF EPHIM IN LOW-INCOME; MULTIETHNIC POPULATIONS",AHRQ,"8881103",4R01HS021679-03,4,R01,HS,021679,03,,,"1872353","ARCURY, THOMAS A.",Not Applicable,"WAKE FOREST UNIVERSITY HEALTH SCIENCES", ,2015,,,,,
"CENTER FOR RESEARCH TRANSLATION IN SCLERODERMA",NIAMS,"7930218",3P50AR054144-04S1,3,P50,AR,054144,04,S1,,"1872885","ARNETT, FRANK C",Not Applicable,"UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON", ,2009,75000,
"CENTER FOR RESEARCH TRANSLATION IN SCLERODERMA",NIAMS,"7673464",5P50AR054144-04,5,P50,AR,054144,04,,,"1872885","ARNETT, FRANK C",Not Applicable,"UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON", ,2009,1556890,
"CENTER FOR RESEARCH TRANSLATION IN SCLERODERMA",NIAMS,"7663529",3P50AR054144-03S1,3,P50,AR,054144,03,S1,,"1872885","ARNETT, FRANK C",Not Applicable,"UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON", ,2008,1,
"CENTER FOR RESEARCH TRANSLATION IN SCLERODERMA",NIAMS,"7486191",5P50AR054144-03,5,P50,AR,054144,03,,,"1872885","ARNETT, FRANK C",Not Applicable,"UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON", ,2008,1429620,
"CENTER FOR RESEARCH TRANSLATION IN SCLERODERMA",NIAMS,"7284833",5P50AR054144-02,5,P50,AR,054144,02,,,"1872885","ARNETT, FRANK C",Not Applicable,"UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON", ,2007,1742928,
"CENTER FOR RESEARCH TRANSLATION IN SCLERODERMA",NIAMS,"7141660",1P50AR054144-01,1,P50,AR,054144,01,,,"1872885","ARNETT, FRANK C",Not Applicable,"UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON", ,2006,1494942,
"PROSPECTIVE EPIDEMIOLOGICAL STUDY OF ALS",NINDS,"7800922",5R01NS045893-07,5,R01,NS,045893,07,,,"1899271","ASCHERIO, ALBERTO ",Not Applicable,"HARVARD SCHOOL OF PUBLIC HEALTH", ,2010,290761,
"PROSPECTIVE EPIDEMIOLOGICAL STUDY OF ALS",NINDS,"7590406",5R01NS045893-06,5,R01,NS,045893,06,,,"1899271","ASCHERIO, ALBERTO ",Not Applicable,"HARVARD SCHOOL OF PUBLIC HEALTH", ,2009,293015,
"PROSPECTIVE EPIDEMIOLOGICAL STUDY OF ALS",NINDS,"7391712",5R01NS045893-05,5,R01,NS,045893,05,,,"1899271","ASCHERIO, ALBERTO ",Not Applicable,"HARVARD SCHOOL OF PUBLIC HEALTH", ,2008,290173,
"PROSPECTIVE EPIDEMIOLOGICAL STUDY OF ALS",NINDS,"7176202",5R01NS045893-04,5,R01,NS,045893,04,,,"1899271","ASCHERIO, ALBERTO ",Not Applicable,"HARVARD UNIVERSITY (SCH OF PUBLIC HLTH)", ,2007,300929,
"PROSPECTIVE EPIDEMIOLOGICAL STUDY OF ALS",NINDS,"7034152",2R01NS045893-03,2,R01,NS,045893,03,,,"1899271","ASCHERIO, ALBERTO ",Not Applicable,"HARVARD UNIVERSITY (SCH OF PUBLIC HLTH)", ,2006,322545,
"PRENATAL PASSIVE EXPOSURE AND PREGNANCY OUTCOMES",NCRR,"7607360",3M01RR002602-22S1,3,M01,RR,002602,22,S1,5370,"9342359","ASHFORD, KRISTIN ",Not Applicable,"UNIVERSITY OF KENTUCKY", ,2007,,87171
"A PROSPECTIVE STUDY OF THE IMPACT OF BREAST CANCER ON SYMPTOMS AND FUNCTIONING",NCI,"8943944",1R01CA199137-01,1,R01,CA,199137,01,,,"1883963","AVIS, NANCY E",Not Applicable,"WAKE FOREST UNIVERSITY HEALTH SCIENCES", ,2015,424296,
"PILOT--SOCIAL RESOURCES AND SMOKING AMONG HISPANIC YOUTH",NCI,"6354642",5P50CA084735-02,5,P50,CA,084735,02,,0005,"1910369","BAEZCONDE GARBANATI, LOURDES ",Not Applicable,"UNIVERSITY OF SOUTHERN CALIFORNIA", ,2000,,216805
"PILOT--SOCIAL RESOURCES AND SMOKING AMONG HISPANIC YOUTH",NCI,"6232831",1P50CA084735-01,1,P50,CA,084735,01,,0005,"1910369","BAEZCONDE GARBANATI, LOURDES ",Not Applicable,"UNIVERSITY OF SOUTHERN CALIFORNIA", ,1999,,216805
"CARDIOPULMONARY STRUCTURE AND FUNCTION IN MULTI-ETHNIC STUDY OF ATHEROSCLEROSIS",NHLBI,"8463584",5R01HL077612-08,5,R01,HL,077612,08,,,"6720767","BARR, R GRAHAM",Not Applicable,"COLUMBIA UNIVERSITY HEALTH SCIENCES", ,2013,788321,
"CARDIOPULMONARY STRUCTURE AND FUNCTION IN MULTI-ETHNIC STUDY OF ATHEROSCLEROSIS",NHLBI,"8286080",5R01HL077612-07,5,R01,HL,077612,07,,,"6720767","BARR, R GRAHAM",Not Applicable,"COLUMBIA UNIVERSITY HEALTH SCIENCES", ,2012,796624,
"CARDIOPULMONARY STRUCTURE AND FUNCTION IN MULTI-ETHNIC STUDY OF ATHEROSCLEROSIS",NHLBI,"8060584",5R01HL077612-06,5,R01,HL,077612,06,,,"6720767","BARR, R GRAHAM",Not Applicable,"COLUMBIA UNIVERSITY HEALTH SCIENCES", ,2011,802884,
"CARDIOPULMONARY STRUCTURE AND FUNCTION IN MULTI-ETHNIC STUDY OF ATHEROSCLEROSIS",NHLBI,"7889143",2R01HL077612-05A1,2,R01,HL,077612,05,A1,,"6720767","BARR, R GRAHAM",Not Applicable,"COLUMBIA UNIVERSITY HEALTH SCIENCES", ,2010,946306,
"ENDOTHELIAL DYSFUNCTION; BIOMARKERS AND LUNG FUNCTION",NHLBI,"7266282",5R01HL077612-04,5,R01,HL,077612,04,,,"6720767","BARR, R GRAHAM",Not Applicable,"COLUMBIA UNIVERSITY HEALTH SCIENCES", ,2007,670585,
"ENDOTHELIAL DYSFUNCTION; BIOMARKERS AND LUNG FUNCTION",NHLBI,"7100916",5R01HL077612-03,5,R01,HL,077612,03,,,"6720767","BARR, R GRAHAM",Not Applicable,"COLUMBIA UNIVERSITY HEALTH SCIENCES", ,2006,775687,
"ENDOTHELIAL DYSFUNCTION; BIOMARKERS AND LUNG FUNCTION",NHLBI,"6931970",5R01HL077612-02,5,R01,HL,077612,02,,,"6720767","BARR, R GRAHAM",Not Applicable,"COLUMBIA UNIVERSITY HEALTH SCIENCES", ,2005,888821,
"ENDOTHELIAL DYSFUNCTION; BIOMARKERS AND LUNG FUNCTION",NHLBI,"6813618",1R01HL077612-01,1,R01,HL,077612,01,,,"6720767","BARR, R GRAHAM",Not Applicable,"COLUMBIA UNIVERSITY HEALTH SCIENCES", ,2004,1000726,
"GENOME-WIDE AND LINKAGE STUDY OF QUANTITATIVE EMPHYSEMA PHENOTYPES",NHLBI,"7935319",5RC1HL100543-02,5,RC1,HL,100543,02,,,"6720767","BARR, R GRAHAM ","RICH, STEPHEN S.","COLUMBIA UNIVERSITY HEALTH SCIENCES",YES,2010,470593,
"GENOME-WIDE AND LINKAGE STUDY OF QUANTITATIVE EMPHYSEMA PHENOTYPES",NHLBI,"7833115",1RC1HL100543-01,1,RC1,HL,100543,01,,,"6720767","BARR, R GRAHAM ","RICH, STEPHEN S.","COLUMBIA UNIVERSITY HEALTH SCIENCES",YES,2009,499863,
"AIR POLLUTION AND HIGH DENSITY LIPOPROTEIN STRUCTURE AND FUNCTION",NIEHS,"8833938",1F31ES025096-01,1,F31,ES,025096,01,,,"12192292","BELL, GRIFFITH ",Not Applicable,"UNIVERSITY OF WASHINGTON", ,2015,40877,
"HAWAII MINORITY-BASED CLINICAL COMMUNITY ONCOLOGY PROGRAM",NCI,"8135158",3U10CA063844-17S1,3,U10,CA,063844,17,S1,,"10730192","BERENBERG, JEFFREY ",Not Applicable,"UNIVERSITY OF HAWAII AT MANOA", ,2010,100000,
"SOUTHWEST ONCOLOGY GROUP STUDIES",NCI,"3557284",5U10CA032734-11,5,U10,CA,032734,11,,,"3810185","BERENBERG, JEFFREY L",Not Applicable,"UNIVERSITY OF HAWAII AT MANOA", ,1992,96567,
"HAWAII MINORITY-BASED CLINICAL COMMUNITY ONCOLOGY PROGRAM",NCI,"8850971",3U10CA063844-20S1,3,U10,CA,063844,20,S1,,"10728916","BERENBERG, JEFFREY LEE",Not Applicable,"UNIVERSITY OF HAWAII AT MANOA", ,2014,100152,
"HAWAII MINORITY-BASED CLINICAL COMMUNITY ONCOLOGY PROGRAM",NCI,"8484351",5U10CA063844-20,5,U10,CA,063844,20,,,"10728916","BERENBERG, JEFFREY LEE",Not Applicable,"UNIVERSITY OF HAWAII AT MANOA", ,2013,736823,
"HAWAII MINORITY-BASED CLINICAL COMMUNITY ONCOLOGY PROGRAM",NCI,"8329651",5U10CA063844-19,5,U10,CA,063844,19,,,"10728916","BERENBERG, JEFFREY LEE",Not Applicable,"UNIVERSITY OF HAWAII AT MANOA", ,2012,543533,
"HAWAII MINORITY-BASED CLINICAL COMMUNITY ONCOLOGY PROGRAM",NCI,"8117758",5U10CA063844-18,5,U10,CA,063844,18,,,"10728916","BERENBERG, JEFFREY LEE",Not Applicable,"UNIVERSITY OF HAWAII AT MANOA", ,2011,542939,
"HAWAII MINORITY-BASED CLINICAL COMMUNITY ONCOLOGY PROGRAM",NCI,"7892615",2U10CA063844-17,2,U10,CA,063844,17,,,"10728916","BERENBERG, JEFFREY LEE",Not Applicable,"UNIVERSITY OF HAWAII AT MANOA", ,2010,837264,
"CANCER POPULATION SCIENCES RESEARCH PROGRAM",NCI,"8723070",5P30CA118100-10,5,P30,CA,118100,10,,6315,"1894232","BERWICK, MARIANNE ",Not Applicable,"UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR", ,2014,,73031
"CANCER POPULATION SCIENCES RESEARCH PROGRAM",NCI,"8723096",3P30CA118100-09S2,3,P30,CA,118100,09,S2,6315,"1894232","BERWICK, MARIANNE ",Not Applicable,"UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR", ,2013,,6252
"CANCER POPULATION SCIENCES RESEARCH PROGRAM",NCI,"8545060",5P30CA118100-09,5,P30,CA,118100,09,,6315,"1894232","BERWICK, MARIANNE ",Not Applicable,"UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR", ,2013,,70488
"CANCER POPULATION SCIENCES RESEARCH PROGRAM",NCI,"8545058",3P30CA118100-08S2,3,P30,CA,118100,08,S2,6315,"1894232","BERWICK, MARIANNE ",Not Applicable,"UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR", ,2012,,4167
"CANCER POPULATION SCIENCES RESEARCH PROGRAM",NCI,"8545055",3P30CA118100-08S1,3,P30,CA,118100,08,S1,6315,"1894232","BERWICK, MARIANNE ",Not Applicable,"UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR", ,2012,,7778
"CANCER POPULATION SCIENCES RESEARCH PROGRAM",NCI,"8379117",5P30CA118100-08,5,P30,CA,118100,08,,6315,"1894232","BERWICK, MARIANNE ",Not Applicable,"UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR", ,2012,,75493
"SCHOOL-BASED MENTAL HEALTH INTERVENTIONS FOR REFUGEES",NIMH,"7331513",5K01MH067690-05,5,K01,MH,067690,05,,,"2403057","BIRMAN, DINA ",Not Applicable,"UNIVERSITY OF ILLINOIS AT CHICAGO", ,2008,151856,
"SCHOOL-BASED MENTAL HEALTH INTERVENTIONS FOR REFUGEES",NIMH,"7156992",5K01MH067690-04,5,K01,MH,067690,04,,,"2403057","BIRMAN, DINA ",Not Applicable,"UNIVERSITY OF ILLINOIS", ,2007,148363,
"SCHOOL-BASED MENTAL HEALTH INTERVENTIONS FOR REFUGEES",NIMH,"7008139",5K01MH067690-03,5,K01,MH,067690,03,,,"2403057","BIRMAN, DINA ",Not Applicable,"UNIVERSITY OF ILLINOIS AT CHICAGO", ,2006,145996,
"SCHOOL-BASED MENTAL HEALTH INTERVENTIONS FOR REFUGEES",NIMH,"6846608",5K01MH067690-02,5,K01,MH,067690,02,,,"2403057","BIRMAN, DINA ",Not Applicable,"UNIVERSITY OF ILLINOIS AT CHICAGO", ,2005,143437,
"SCHOOL-BASED MENTAL HEALTH INTERVENTIONS FOR REFUGEES",NIMH,"6724730",1K01MH067690-01A1,1,K01,MH,067690,01,A1,,"2403057","BIRMAN, DINA ",Not Applicable,"UNIVERSITY OF ILLINOIS AT CHICAGO", ,2004,140680,
"INVOLVING ADOLESCENTS IN PHYSICAL ACTIVITY PROMOTION",NCI,"7106349",7R21CA109846-02,7,R21,CA,109846,02,,,"7874592","BIRNBAUM, AMANDA S",Not Applicable,"MONTCLAIR STATE UNIVERSITY", ,2005,126733,
"INVOLVING ADOLESCENTS IN PHYSICAL ACTIVITY PROMOTION",NCI,"6827455",1R21CA109846-01,1,R21,CA,109846,01,,,"7874592","BIRNBAUM, AMANDA S",Not Applicable,"WEILL MEDICAL COLLEGE OF CORNELL UNIV", ,2004,168000,
"MALT BEVERAGE USE & OUTCOMES IN A MINORITY COMMUNITY",NIAAA,"6533709",5R21AA013534-02,5,R21,AA,013534,02,,,"2087507","BLUTHENTHAL, RICKY N",Not Applicable,"CHARLES R. DREW UNIVERSITY OF MED & SCI", ,2002,143000,
"MALT BEVERAGE USE & OUTCOMES IN A MINORITY COMMUNITY",NIAAA,"6454038",1R21AA013534-01,1,R21,AA,013534,01,,,"2087507","BLUTHENTHAL, RICKY N",Not Applicable,"CHARLES R. DREW UNIVERSITY OF MED & SCI", ,2001,143000,
"IDENTIFYING T2D VARIANTS BY DNA SEQUENCING IN MULTIETHNIC SAMPLES",NIDDK,"8536799",5U01DK085584-05,5,U01,DK,085584,05,,,"2412033","BOEHNKE, MICHAEL LEE ","ABECASIS, GONCALO ;GLASER, BENJAMIN ;TAI, E SHYONG ","UNIVERSITY OF MICHIGAN", ,2013,658645,
"IDENTIFYING T2D VARIANTS BY DNA SEQUENCING IN MULTIETHNIC SAMPLES",NIDDK,"8322013",5U01DK085584-04,5,U01,DK,085584,04,,,"2412033","BOEHNKE, MICHAEL LEE ","ABECASIS, GONCALO ;GLASER, BENJAMIN ;TAI, E SHYONG ","UNIVERSITY OF MICHIGAN", ,2012,805958,
"IDENTIFYING T2D VARIANTS BY DNA SEQUENCING IN MULTIETHNIC SAMPLES",NIDDK,"8461735",3U01DK085584-03S1,3,U01,DK,085584,03,S1,,"2412033","BOEHNKE, MICHAEL LEE ","ABECASIS, GONCALO ;CHO, YOON SHIN ;GLASER, BENJAMIN ;TAI, E SHYONG ","UNIVERSITY OF MICHIGAN", ,2012,16964,
"IDENTIFYING T2D VARIANTS BY DNA SEQUENCING IN MULTIETHNIC SAMPLES",NIDDK,"8141368",5U01DK085584-03,5,U01,DK,085584,03,,,"2412033","BOEHNKE, MICHAEL LEE ","ABECASIS, GONCALO ;CHO, YOON SHIN ;GLASER, BENJAMIN ;TAI, E SHYONG ","UNIVERSITY OF MICHIGAN", ,2011,757414,
"IDENTIFYING T2D VARIANTS BY DNA SEQUENCING IN MULTIETHNIC SAMPLES",NIDDK,"7932741",5U01DK085584-02,5,U01,DK,085584,02,,,"2412033","BOEHNKE, MICHAEL LEE ","ABECASIS, GONCALO ;CHO, YOON SHIN ;GLASER, BENJAMIN ;TAI, E SHYONG ","UNIVERSITY OF MICHIGAN", ,2010,997224,
"IDENTIFYING T2D VARIANTS BY DNA SEQUENCING IN MULTIETHNIC SAMPLES",NIDDK,"8037896",3U01DK085584-01S1,3,U01,DK,085584,01,S1,,"2412033","BOEHNKE, MICHAEL LEE ","ABECASIS, GONCALO ;CHO, YOON SHIN ;GLASER, BENJAMIN ;TAI, E SHYONG ","UNIVERSITY OF MICHIGAN",YES,2010,90599,
"IDENTIFYING T2D VARIANTS BY DNA SEQUENCING IN MULTIETHNIC SAMPLES",NIDDK,"7791617",1U01DK085584-01,1,U01,DK,085584,01,,,"2412033","BOEHNKE, MICHAEL LEE ","ABECASIS, GONCALO ;CHO, YOON SHIN ;GLASER, BENJAMIN ;TAI, E SHYONG ","UNIVERSITY OF MICHIGAN", ,2009,724590,
"BOOSTING BREASTFEEDING IN LOW-INCOME; MULTIETHNIC WOMEN: A PRIMARY-CARE BASED RCT",NICHD,"7485354",7R01HD049763-02,7,R01,HD,049763,02,,,"1987232","BONUCK, KAREN A",Not Applicable,"ALBERT EINSTEIN COLLEGE OF MEDICINE", ,2007,570151,
"BOOSTING BREASTFEEDING IN LOW-INCOME; MULTIETHNIC WOMEN: A PRIMARY-CARE BASED RCT",NICHD,"7194561",1R01HD049763-01A2,1,R01,HD,049763,01,A2,,"1987232","BONUCK, KAREN A",Not Applicable,"MONTEFIORE MEDICAL CENTER (BRONX, NY)", ,2007,1,
"BOOSTING BREASTFEEDING IN LOW-INCOME; MULTIETHNIC WOMEN: A PRIMARY-CARE BASED RCT",NICHD,"8082713",5R01HD049763-06,5,R01,HD,049763,06,,,"1987232","BONUCK, KAREN A.",Not Applicable,"ALBERT EINSTEIN COLLEGE OF MEDICINE", ,2011,503670,
"BOOSTING BREASTFEEDING IN LOW-INCOME; MULTIETHNIC WOMEN: A PRIMARY-CARE BASED RCT",NICHD,"7822713",5R01HD049763-05,5,R01,HD,049763,05,,,"1987232","BONUCK, KAREN A.",Not Applicable,"ALBERT EINSTEIN COLLEGE OF MEDICINE", ,2010,643595,
"BOOSTING BREASTFEEDING IN LOW-INCOME; MULTIETHNIC WOMEN: A PRIMARY-CARE BASED RCT",NICHD,"7620948",5R01HD049763-04,5,R01,HD,049763,04,,,"1987232","BONUCK, KAREN A.",Not Applicable,"ALBERT EINSTEIN COLLEGE OF MEDICINE", ,2009,651421,
"BOOSTING BREASTFEEDING IN LOW-INCOME; MULTIETHNIC WOMEN: A PRIMARY-CARE BASED RCT",NICHD,"7458828",5R01HD049763-03,5,R01,HD,049763,03,,,"1987232","BONUCK, KAREN A.",Not Applicable,"ALBERT EINSTEIN COLLEGE OF MEDICINE", ,2008,636771,
"MULTI-ETHNIC DRUG ABUSE PREVENTION AMONG NEW YORK YOUTH",NIDA,"7283306",3P50DA007656-11A1S1,3,P50,DA,007656,11,A1S1,,"1871751","BOTVIN, GILBERT J",Not Applicable,"WEILL MEDICAL COLLEGE OF CORNELL UNIV", ,2006,75000,
"MULTIETHNIC DRUG ABUSE PREVENTION AMONG NEW YORK YOUTH",NIDA,"6378548",5P50DA007656-10,5,P50,DA,007656,10,,,"1871751","BOTVIN, GILBERT J",Not Applicable,"WEILL MEDICAL COLLEGE OF CORNELL UNIV", ,2001,1226824,
"MULTIETHNIC DRUG ABUSE PREVENTION AMONG NEW YORK YOUTH",NIDA,"6175630",5P50DA007656-09,5,P50,DA,007656,09,,,"1871751","BOTVIN, GILBERT J",Not Applicable,"WEILL MEDICAL COLLEGE OF CORNELL UNIV", ,2000,1457276,
"MULTIETHNIC DRUG ABUSE PREVENTION AMONG NEW YORK YOUTH",NIDA,"2897877",5P50DA007656-08,5,P50,DA,007656,08,,,"1871751","BOTVIN, GILBERT J",Not Applicable,"WEILL MEDICAL COLLEGE OF CORNELL UNIV", ,1999,1832512,
"MULTIETHNIC DRUG ABUSE PREVENTION AMONG NEW YORK YOUTH",NIDA,"6041125",3P50DA007656-07S4,3,P50,DA,007656,07,S4,,"1871751","BOTVIN, GILBERT J",Not Applicable,"WEILL MEDICAL COLLEGE OF CORNELL UNIV", ,1999,47370,
"MULTIETHNIC DRUG ABUSE PREVENTION AMONG NEW YORK YOUTH",NIDA,"2869677",3P50DA007656-07S3,3,P50,DA,007656,07,S3,,"1871751","BOTVIN, GILBERT J",Not Applicable,"WEILL MEDICAL COLLEGE OF CORNELL UNIV", ,1998,99509,
"MULTIETHNIC DRUG ABUSE PREVENTION AMONG YOUTH",NIDA,"2867351",3P50DA007656-07S2,3,P50,DA,007656,07,S2,,"1871751","BOTVIN, GILBERT J",Not Applicable,"WEILL MEDICAL COLLEGE OF CORNELL UNIV", ,1998,16023,
