NORTH SAN DIEGO COUNTY BRIDGES TO THE FUTURE PROGRAM AT*,NIGMS,7074659,5R25GM066341-05,5,R25,GM,66341,5,,,8012642,"BRAY, RICHARD NEWTON",Not Applicable,CALIFORNIA STATE UNIVERSITY SAN MARCOS, ,2006,214789
NORTH SAN DIEGO COUNTY BRIDGES TO THE FUTURE PROGRAM,NIGMS,6896058,2R25GM066341-04,2,R25,GM,66341,4,,,8012642,"BRAY, RICHARD NEWTON",Not Applicable,CALIFORNIA STATE UNIVERSITY SAN MARCOS, ,2005,214380
COPING SKILLS TRAINING FOR ARTHRITIS: AN EFFECTIVENESS TRIAL,NIAMS,8117248,5R01AR054626-05,5,R01,AR,54626,5,,,8262215,"BRODERICK, JOAN E",Not Applicable,STATE UNIVERSITY NEW YORK STONY BROOK, ,2011,487591
COPING SKILLS TRAINING FOR ARTHRITIS: AN EFFECTIVENESS TRIAL,NIAMS,7913039,5R01AR054626-04,5,R01,AR,54626,4,,,8262215,"BRODERICK, JOAN E",Not Applicable,STATE UNIVERSITY NEW YORK STONY BROOK, ,2010,630107
COPING SKILLS TRAINING FOR ARTHRITIS: AN EFFECTIVENESS TRIAL,NIAMS,7932450,3R01AR054626-03S2,3,R01,AR,54626,3,S2,,8262215,"BRODERICK, JOAN E",Not Applicable,STATE UNIVERSITY NEW YORK STONY BROOK,YES,2009,168000
COPING SKILLS TRAINING FOR ARTHRITIS: AN EFFECTIVENESS TRIAL,NIAMS,7659568,5R01AR054626-03,5,R01,AR,54626,3,,,8262215,"BRODERICK, JOAN E",Not Applicable,STATE UNIVERSITY NEW YORK STONY BROOK, ,2009,631440
COPING SKILLS TRAINING FOR ARTHRITIS: AN EFFECTIVENESS TRIAL,NIAMS,7496107,5R01AR054626-02,5,R01,AR,54626,2,,,8262215,"BRODERICK, JOAN E",Not Applicable,STATE UNIVERSITY NEW YORK STONY BROOK, ,2008,621614
COPING SKILLS TRAINING FOR ARTHRITIS: AN EFFECTIVENESS TRIAL,NIAMS,7320062,1R01AR054626-01A1,1,R01,AR,54626,1,A1,,8262215,"BRODERICK, JOAN E",Not Applicable,STATE UNIVERSITY NEW YORK STONY BROOK, ,2007,666894
IMPROVING ASTHMA OUTCOMES THROUGH CULTURAL COMPETENCE TRAINING FOR PHYSICIANS,NHLBI,8488464,5R01HL093386-04,5,R01,HL,93386,4,,,12095203,"BROWN, RANDALL WESSLEY",Not Applicable,UNIVERSITY OF MICHIGAN, ,2013,643379
NURSING; HISTORY AND HEALTHCARE: A WEBSITE,NLM,7223510,5G13LM008295-02,5,G13,LM,8295,2,,,1974813,"BUHLER-WILKERSON, KAREN A",Not Applicable,UNIVERSITY OF PENNSYLVANIA, ,2007,78688
WHAT MATTERS IN MENTORING? EFFECT OF MENTOR CULTURAL AWARENESS ON MENTEE OUTCOMES,NIGMS,8913207,5R01GM094573-05,5,R01,GM,94573,5,,,9293460,"BYARS-WINSTON, ANGELA  ","PFUND, CHRISTINE E",UNIVERSITY OF WISCONSIN-MADISON, ,2015,359347
WHAT MATTERS IN MENTORING? EFFECT OF MENTOR CULTURAL AWARENESS ON MENTEE OUTCOMES,NIGMS,8758481,2R01GM094573-04,2,R01,GM,94573,4,,,9293460,"BYARS-WINSTON, ANGELA  ","PFUND, CHRISTINE E",UNIVERSITY OF WISCONSIN-MADISON, ,2014,359347
ALCOHOL EPIDEMIOLOGY IN HISPANIC NATIONAL GROUPS,NIAAA,7281702,5R01AA013642-05,5,R01,AA,13642,5,,,1864303,"CAETANO, RAUL ",Not Applicable,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON, ,2007,294373
UNIVERSITY OF HAWAII CANCER CENTER CCSG,NCI,8736119,3P30CA071789-14S3,3,P30,CA,71789,14,S3,,1869066,"CARBONE, MICHELE ",Not Applicable,UNIVERSITY OF HAWAII AT MANOA, ,2013,100000
UNIVERSITY OF HAWAII CANCER CENTER CCSG,NCI,8709480,3P30CA071789-14S2,3,P30,CA,71789,14,S2,,1869066,"CARBONE, MICHELE ",Not Applicable,UNIVERSITY OF HAWAII AT MANOA, ,2013,71639
UNIVERSITY OF HAWAII CANCER CENTER CCSG,NCI,8708241,3P30CA071789-14S1,3,P30,CA,71789,14,S1,,1869066,"CARBONE, MICHELE ",Not Applicable,UNIVERSITY OF HAWAII AT MANOA, ,2013,113245
UNIVERSITY OF HAWAII CANCER CENTER CCSG,NCI,8549116,5P30CA071789-14,5,P30,CA,71789,14,,,1869066,"CARBONE, MICHELE ",Not Applicable,UNIVERSITY OF HAWAII AT MANOA, ,2013,1063659
UNIVERSITY OF HAWAII CANCER CENTER CCSG,NCI,8339541,2P30CA071789-13,2,P30,CA,71789,13,,,1869066,"CARBONE, MICHELE ",Not Applicable,UNIVERSITY OF HAWAII AT MANOA, ,2012,1150000
SR. LEADERSHIP,NCI,8232207,5P30CA016087-31,5,P30,CA,16087,31,,9028,1897735,"CARROLL, WILLIAM L.",Not Applicable,NEW YORK UNIVERSITY SCHOOL OF MEDICINE, ,2011,,361658
MARYLAND'S APPROACH TO CULTURAL COMPETENCY IN HEALTHCARE,NHLBI,7490618,5K07HL079255-05,5,K07,HL,79255,5,,,7732192,"CARTER-POKRAS, OLIVIA DENISE",Not Applicable,"UNIV OF MARYLAND, COLLEGE PARK", ,2008,112331,
MARYLAND'S APPROACH TO CULTURAL COMPETENCY IN HEALTHCARE,NHLBI,7275970,7K07HL079255-04,7,K07,HL,79255,4,,,7732192,"CARTER-POKRAS, OLIVIA DENISE",Not Applicable,UNIVERSITY OF MARYLAND COLLEGE PK CAMPUS, ,2007,109846,
REPRODUCTIVE HEALTH INTERVENTION FOR TEEN GIRLS WITH DM,NICHD,7935561,3R01HD044097-05S1,3,R01,HD,44097,5,S1,,1975401,"CHARRON-PROCHOWNIK, DENISE CECILE",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,YES,2009,91163,
REPRODUCTIVE HEALTH INTERVENTION FOR TEEN GIRLS WITH DM,NICHD,7615695,5R01HD044097-05,5,R01,HD,44097,5,,,1975401,"CHARRON-PROCHOWNIK, DENISE CECILE",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH, ,2009,306607,
REPRODUCTIVE HEALTH INTERVENTION FOR TEEN GIRLS WITH DM,NICHD,7446165,5R01HD044097-04,5,R01,HD,44097,4,,,1975401,"CHARRON-PROCHOWNIK, DENISE CECILE",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH, ,2008,272439,
REPRODUCTIVE HEALTH INTERVENTION FOR TEEN GIRLS WITH DM,NICHD,7276776,5R01HD044097-03,5,R01,HD,44097,3,,,1975401,"CHARRON-PROCHOWNIK, DENISE CECILE",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH, ,2007,253391,
DEVELOPMENT OF AN INTERNATIONAL CULTURAL NEUROSCIENCE CONSORTIUM,NIDA,8296507,5R13DA033065-02,5,R13,DA,33065,2,,,8508708,"CHIAO, JOAN Y",Not Applicable,NORTHWESTERN UNIVERSITY, ,2012,50000,
DEVELOPMENT OF AN INTERNATIONAL CULTURAL NEUROSCIENCE CONSORTIUM,NIDA,8205636,1R13DA033065-01,1,R13,DA,33065,1,,,8508708,"CHIAO, JOAN Y",Not Applicable,NORTHWESTERN UNIVERSITY, ,2011,50000,
IMPROVING ASTHMA OUTCOMES THROUGH CULTURAL COMPETENCE TRAINING FOR PHYSICIANS,NHLBI,8220772,5R01HL093386-03,5,R01,HL,93386,3,,,1867477,"CLARK, NOREEN M",Not Applicable,UNIVERSITY OF MICHIGAN, ,2012,698617,
IMPROVING ASTHMA OUTCOMES THROUGH CULTURAL COMPETENCE TRAINING FOR PHYSICIANS,NHLBI,8013012,5R01HL093386-02,5,R01,HL,93386,2,,,1867477,"CLARK, NOREEN M",Not Applicable,UNIVERSITY OF MICHIGAN, ,2011,748327,
IMPROVING ASTHMA OUTCOMES THROUGH CULTURAL COMPETENCE TRAINING FOR PHYSICIANS,NHLBI,7779705,1R01HL093386-01A2,1,R01,HL,93386,1,A2,,1867477,"CLARK, NOREEN M",Not Applicable,UNIVERSITY OF MICHIGAN, ,2010,759148,
SHORT-TERM RESEARCH TRAINING FOR MINORITY STUDENTS,NIEHS,7393073,5T35ES007298-13,5,T35,ES,7298,13,,,1879871,"CLAUDIO, LUZ ",Not Applicable,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI, ,2008,46426,
SHORT-TERM RESEARCH TRAINING FOR MINORITY STUDENTS,NIEHS,7219995,5T35ES007298-12,5,T35,ES,7298,12,,,1879871,"CLAUDIO, LUZ ",Not Applicable,MOUNT SINAI SCHOOL OF MEDICINE, ,2007,31039,
VIRTUAL MENTORING TO ENHANCE DIVERSITY OF THE MENTAL HEALTH RESEARCH WORKFORCE,NIMH,8332290,5U24MH094284-02,5,U24,MH,94284,2,,,1891047,"CONWELL, YEATES  ","PERPICH, JOSEPH GEORGE",UNIVERSITY OF ROCHESTER, ,2012,245214,
VIRTUAL MENTORING TO ENHANCE DIVERSITY OF THE MENTAL HEALTH RESEARCH WORKFORCE,NIMH,8484681,3U24MH094284-01S1,3,U24,MH,94284,1,S1,,1891047,"CONWELL, YEATES  ","PERPICH, JOSEPH GEORGE",UNIVERSITY OF ROCHESTER, ,2012,30957,
VIRTUAL MENTORING TO ENHANCE DIVERSITY OF THE MENTAL HEALTH RESEARCH WORKFORCE,NIMH,8153470,1U24MH094284-01,1,U24,MH,94284,1,,,1891047,"CONWELL, YEATES  ","PERPICH, JOSEPH GEORGE",UNIVERSITY OF ROCHESTER, ,2011,216882
ALCOHOL USE AMONG ASIAN AMERICAN ADOLESCENTS & YOUNG ADULTS: DO SUBGROUPS DIFFER?,NIAAA,8308349,5R03AA019791-02,5,R03,AA,19791,2,,,9350250,"COOK, WON KIM",Not Applicable,PUBLIC HEALTH INSTITUTE, ,2012,76900
ALCOHOL USE AMONG ASIAN AMERICAN ADOLESCENTS & YOUNG ADULTS: DO SUBGROUPS DIFFER?,NIAAA,8114590,1R03AA019791-01A1,1,R03,AA,19791,1,A1,,9350250,"COOK, WON KIM",Not Applicable,PUBLIC HEALTH INSTITUTE, ,2011,76900
BIOLOGICAL BASICS AND INTERGENERATIONAL TRANSFERS,NICHD,7285674,5R01HD045637-05,5,R01,HD,45637,5,,,1955469,"COX, DONALD C.",Not Applicable,BOSTON COLLEGE, ,2007,292988
RESEARCH EDUCATION PROGRAM TO INCREASE DIVERSITY IN HEALTH-RELATED RESEARCH,NHLBI,8850260,5R25HL108864-05,5,R25,HL,108864,5,,,6725206,"CROCKETT, ELAHE T",Not Applicable,MICHIGAN STATE UNIVERSITY, ,2015,201052
RESEARCH EDUCATION PROGRAM TO INCREASE DIVERSITY IN HEALTH-RELATED RESEARCH,NHLBI,8700485,5R25HL108864-04,5,R25,HL,108864,4,,,6725206,"CROCKETT, ELAHE T",Not Applicable,MICHIGAN STATE UNIVERSITY, ,2014,201052
RESEARCH EDUCATION PROGRAM TO INCREASE DIVERSITY IN HEALTH-RELATED RESEARCH,NHLBI,8484431,5R25HL108864-03,5,R25,HL,108864,3,,,6725206,"CROCKETT, ELAHE T",Not Applicable,MICHIGAN STATE UNIVERSITY, ,2013,201052
RESEARCH EDUCATION PROGRAM TO INCREASE DIVERSITY IN HEALTH-RELATED RESEARCH,NHLBI,8274873,5R25HL108864-02,5,R25,HL,108864,2,,,6725206,"CROCKETT, ELAHE T",Not Applicable,MICHIGAN STATE UNIVERSITY, ,2012,201052
RESEARCH EDUCATION PROGRAM TO INCREASE DIVERSITY IN HEALTH-RELATED RESEARCH,NHLBI,8158932,1R25HL108864-01,1,R25,HL,108864,1,,,6725206,"CROCKETT, ELAHE T",Not Applicable,MICHIGAN STATE UNIVERSITY, ,2011,201052
THE USE OF VALERIAN ON SLEEP IN PERSONS WITH RESTLESS LEGS SYNDROME,NINR,7619631,5K01NR009570-03,5,K01,NR,9570,3,,,7580649,"CUELLAR, NORMA GRACIELA",Not Applicable,UNIVERSITY OF PENNSYLVANIA, ,2009,92174
THE USE OF VALERIAN ON SLEEP IN PERSONS WITH RESTLESS LEGS SYNDROME,NINR,7431712,5K01NR009570-02,5,K01,NR,9570,2,,,7580649,"CUELLAR, NORMA GRACIELA",Not Applicable,UNIVERSITY OF PENNSYLVANIA, ,2008,92287
MOTIVATIONAL INTERVIEWING AND CULTURE FOR URBAN NATIVE AMERICAN YOUTH (MICUNAY),NIAAA,8877380,5R01AA022066-03,5,R01,AA,22066,3,,,2084738,"D'AMICO, ELIZABETH J ","DICKERSON, DANIEL LEE",RAND CORPORATION, ,2015,646990
MOTIVATIONAL INTERVIEWING AND CULTURE FOR URBAN NATIVE AMERICAN YOUTH (MICUNAY),NIAAA,8701200,5R01AA022066-02,5,R01,AA,22066,2,,,2084738,"D'AMICO, ELIZABETH J ","DICKERSON, DANIEL LEE",RAND CORPORATION, ,2014,660541
MOTIVATIONAL INTERVIEWING AND CULTURE FOR URBAN NATIVE AMERICAN YOUTH (MICUNAY),NIAAA,8468901,1R01AA022066-01,1,R01,AA,22066,1,,,2084738,"D'AMICO, ELIZABETH J ","DICKERSON, DANIEL LEE",RAND CORPORATION, ,2013,612350
EL PUENTE--BRIDGES TO BIOMEDICAL RESEARCH CAREERS,NIGMS,2436347,1R25GM056622-01,1,R25,GM,56622,1,,,2090034,"DE LEON, VICTOR M",Not Applicable,EUGENIO MARIA DE HOSTOS COMMUNITY COLL, ,1997,277474
CUENTOS DE LA VIDA: EXPLORING CULTURAL HERITAGE THROUGH STORYTELLING,NICHD,8307548,5R44HD059283-04,5,R44,HD,59283,4,,,8194555,"DEROSIER, MELISSA E.",Not Applicable,3-C INSTITUTE FOR SOCIAL DEVELOPMENT, ,2012,467036
CUENTOS DE LA VIDA: EXPLORING CULTURAL HERITAGE THROUGH STORYTELLING,NICHD,8133526,5R44HD059283-03,5,R44,HD,59283,3,,,8194555,"DEROSIER, MELISSA E.",Not Applicable,3-C INSTITUTE FOR SOCIAL DEVELOPMENT, ,2011,310230,
CUENTOS DE LA VIDA: EXPLORING CULTURAL HERITAGE THROUGH STORYTELLING,NICHD,8001638,2R44HD059283-02,2,R44,HD,59283,2,,,8194555,"DEROSIER, MELISSA E.",Not Applicable,3-C INSTITUTE FOR SOCIAL DEVELOPMENT, ,2010,326661,
CORE B: CLINICAL CORE,NIA,8848982,1P50AG047266-01A1,1,P50,AG,47266,1,A1,8874,8723524,"DUARA, RANJAN ",Not Applicable,UNIVERSITY OF FLORIDA, ,2015,,435601
BEST PRACTICES IN MENTAL HEALTH RESEARCH ETHICS CONFERENCE SERIES,NIMH,7454245,5R13MH079690-02,5,R13,MH,79690,2,,,6773950,"DUBOIS, JAMES M",Not Applicable,SAINT LOUIS UNIVERSITY, ,2008,47222,
BEST PRACTICES IN MENTAL HEALTH RESEARCH ETHICS CONFERENCE SERIES,NIMH,7334347,1R13MH079690-01A1,1,R13,MH,79690,1,A1,,6773950,"DUBOIS, JAMES M",Not Applicable,SAINT LOUIS UNIVERSITY, ,2007,48076,
HAMPTON COLLABORATIVE RESEARCH TRAINING MODEL,NIMH,7253950,5T34MH019940-12,5,T34,MH,19940,12,,,7251259,"DUNCAN, NANCY C.",Not Applicable,HAMPTON UNIVERSITY, ,2007,168355,
SUMMER RESEARCH TRAINING IN AGING FOR MEDICAL STUDENTS,NIA,7415087,5T35AG026758-04,5,T35,AG,26758,4,,,9049813,"DURSO, SAMUEL ",Not Applicable,JOHNS HOPKINS UNIVERSITY, ,2008,82348,
SUMMER RESEARCH TRAINING IN AGING FOR MEDICAL STUDENTS,NIA,7228498,5T35AG026758-03,5,T35,AG,26758,3,,,9049813,"DURSO, SAMUEL ",Not Applicable,JOHNS HOPKINS UNIVERSITY, ,2007,74079,
ADOLESCENT MIXED ANCESTRY IDENTITY: A MEASUREMENT PILOT,NICHD,7232443,5R21HD049697-02,5,R21,HD,49697,2,,,1880258,"ERKUT, SUMRU ",Not Applicable,WELLESLEY COLLEGE, ,2007,149719,
ATTENTION BIAS AS AN ETIOLOGIC FACTOR IN PRIMARY AND SECONDARY INSOMNIA,NIMH,8059604,5R01MH077901-04,5,R01,MH,77901,4,,,8594824,"ESPIE, COLIN ALEXANDER",Not Applicable,UNIVERSITY OF GLASGOW, ,2011,268471,
ATTENTION BIAS AS AN ETIOLOGIC FACTOR IN PRIMARY AND SECONDARY INSOMNIA,NIMH,7894769,5R01MH077901-03,5,R01,MH,77901,3,,,8594824,"ESPIE, COLIN ALEXANDER",Not Applicable,UNIVERSITY OF GLASGOW, ,2010,284853,
ATTENTION BIAS AS AN ETIOLOGIC FACTOR IN PRIMARY AND SECONDARY INSOMNIA,NIMH,7649297,5R01MH077901-02,5,R01,MH,77901,2,,,8594824,"ESPIE, COLIN ALEXANDER",Not Applicable,UNIVERSITY OF GLASGOW, ,2009,285839,
ATTENTION BIAS AS AN ETIOLOGIC FACTOR IN PRIMARY AND SECONDARY INSOMNIA,NIMH,7386349,1R01MH077901-01A2,1,R01,MH,77901,1,A2,,8594824,"ESPIE, COLIN ALEXANDER",Not Applicable,UNIVERSITY OF GLASGOW, ,2008,264193,
VULNERABILITY TO PTSD AFTER A DISASTER: CLINICAL AND PUBLIC HEALTH IMPLICATIONS,NIMH,8926701,5F31MH104000-02,5,F31,MH,104000,2,,,11683780,"FERNANDEZ, CRISTINA ANGELA",Not Applicable,BROWN UNIVERSITY, ,2015,43120,
VULNERABILITY TO PTSD AFTER A DISASTER: CLINICAL AND PUBLIC HEALTH IMPLICATIONS,NIMH,8785950,1F31MH104000-01A1,1,F31,MH,104000,1,A1,,11683780,"FERNANDEZ, CRISTINA ANGELA",Not Applicable,BROWN UNIVERSITY, ,2014,42676,
MBRS SUPPORT OF CONTINUOUS RESEARCH EXCELLENCE AT FAU,NIGMS,7236626,5S06GM073621-03,5,S06,GM,73621,3,,,1867778,"FIELDS, GREGG B",Not Applicable,FLORIDA ATLANTIC UNIVERSITY, ,2007,874433,
NORTH SAN DIEGO COUNTY BRIDGES TO THE FUTURE,NIGMS,8904002,5R25GM066341-14,5,R25,GM,66341,14,,,8727568,"GARCIA, DENISE ",Not Applicable,CALIFORNIA STATE UNIVERSITY SAN MARCOS, ,2015,211817
NORTH SAN DIEGO COUNTY BRIDGES TO THE FUTURE,NIGMS,8706892,5R25GM066341-13,5,R25,GM,66341,13,,,8727568,"GARCIA, DENISE ",Not Applicable,CALIFORNIA STATE UNIVERSITY SAN MARCOS, ,2014,213292
NORTH SAN DIEGO COUNTY BRIDGES TO THE FUTURE,NIGMS,8574726,2R25GM066341-12,2,R25,GM,66341,12,,,8727568,"GARCIA, DENISE ",Not Applicable,CALIFORNIA STATE UNIVERSITY SAN MARCOS, ,2013,214342
CHEMOPROPHYLAXIS FOR HIV PREVENTION IN MEN SUPPLEMENT,NIAID,7339511,3U01AI064002-03S1,3,U01,AI,64002,3,S1,,7355874,"GRANT, ROBERT M.",Not Applicable,J. DAVID GLADSTONE INSTITUTES, ,2007,716590
DEPRESSION AND ANXIETY SPECTRUM DISORDERS: FROM BASIC SCIENCE TO THE CLINIC AND B,NIMH,8205351,1R13MH095363-01,1,R13,MH,95363,1,,,6992846,"HABER, SUZANNE N",Not Applicable,UNIVERSITY OF ROCHESTER, ,2011,50000
MASTER IN CLINICAL RESEARCH,NCRR,7283793,5R25RR019321-05,5,R25,RR,19321,5,,,2083944,"HARRIGAN, ROSANNE CAROL",Not Applicable,UNIVERSITY OF HAWAII AT MANOA, ,2007,491600
