STROKE SURVEILLANCE IN A BIETHNIC COMMUNITY,NINDS,6540119,7R01NS038916-04,7,R01,NS,38916,4,,,1990128,"MORGENSTERN, LEWIS B",Not Applicable,UNIVERSITY OF MICHIGAN AT ANN ARBOR, ,2002,693012
STROKE SURVEILLANCE IN A BIETHNIC COMMUNITY,NINDS,6402873,5R01NS038916-03,5,R01,NS,38916,3,,,1990128,"MORGENSTERN, LEWIS B",Not Applicable,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON, ,2001,610969
STROKE SURVEILLANCE IN A BIETHNIC COMMUNITY,NINDS,6504840,3R01NS038916-02S3,3,R01,NS,38916,2,S3,,1990128,"MORGENSTERN, LEWIS B",Not Applicable,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON, ,2001,67631
STROKE SUREVILLANCE IN A BIETHNIC COMMUNITY,NINDS,6395034,3R01NS038916-02S2,3,R01,NS,38916,2,S2,,1990128,"MORGENSTERN, LEWIS B",Not Applicable,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON, ,2000,74743
STROKE SURVEILLANCE IN A BIETHNIC COMMUNITY,NINDS,6188281,5R01NS038916-02,5,R01,NS,38916,2,,,1990128,"MORGENSTERN, LEWIS B",Not Applicable,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON, ,2000,481653
STROKE SURVEILLANCE IN A BIETHNIC COMMUNITY,NINDS,2884231,1R01NS038916-01,1,R01,NS,38916,1,,,1990128,"MORGENSTERN, LEWIS B",Not Applicable,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON, ,1999,489574
SURVIVAL AFTER MI IN A BIETHNIC TEXAS COMMUNITY,NHLBI,3354689,3R01HL038429-07S1,3,R01,HL,38429,7,S1,,2092742,"NICHAMAN, MILTON Z",Not Applicable,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON, ,1993,39524
SURVIVAL AFTER MI IN A BIETHNIC TEXAS COMMUNITY,NHLBI,3354694,5R01HL038429-07,5,R01,HL,38429,7,,,2092742,"NICHAMAN, MILTON Z",Not Applicable,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON, ,1993,514724
SURVIVAL AFTER MI IN A BIETHNIC TEXAS COMMUNITY,NHLBI,3354685,2R01HL038429-06,2,R01,HL,38429,6,,,2092742,"NICHAMAN, MILTON Z",Not Applicable,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON, ,1992,507178
SMOKING ONSET IN A BIETHNIC POPULATION,NHLBI,7010603,3R01HL050723-12S2,3,R01,HL,50723,12,S2,,1887357,"ROBINSON, LESLIE A.",Not Applicable,UNIVERSITY OF MEMPHIS, ,2005,27720
SMOKING ONSET IN A BIETHNIC POPULATION,NHLBI,6866047,3R01HL050723-12S1,3,R01,HL,50723,12,S1,,1887357,"ROBINSON, LESLIE A.",Not Applicable,UNIVERSITY OF MEMPHIS, ,2004,26600
SMOKING ONSET IN A BIETHNIC POPULATION,NHLBI,6703727,5R01HL050723-12,5,R01,HL,50723,12,,,1887357,"ROBINSON, LESLIE A.",Not Applicable,UNIVERSITY OF MEMPHIS, ,2004,134831
SMOKING ONSET IN A BIETHNIC POPULATION,NHLBI,6628969,5R01HL050723-11,5,R01,HL,50723,11,,,1887357,"ROBINSON, LESLIE A.",Not Applicable,UNIVERSITY OF MEMPHIS, ,2003,330114
SMOKING ONSET IN A BIETHNIC POPULATION,NHLBI,6498907,5R01HL050723-10,5,R01,HL,50723,10,,,1887357,"ROBINSON, LESLIE A.",Not Applicable,UNIVERSITY OF MEMPHIS, ,2002,321853
SMOKING ONSET IN A BIETHNIC POPULATION,NHLBI,6200708,2R01HL050723-09,2,R01,HL,50723,9,,,1887357,"ROBINSON, LESLIE A.",Not Applicable,UNIVERSITY OF MEMPHIS, ,2001,314832
MENOPAUSE EFFECT ON OBESITY; ENERGY BALANCE AND INSULIN,NIDDK,7022247,5R01DK050736-07,5,R01,DK,50736,7,,,3132566,"SMITH, STEVEN RICHARD",Not Applicable,LSU PENNINGTON BIOMEDICAL RESEARCH CTR, ,2006,199911
MENOPAUSE EFFECT ON OBESITY; ENERGY BALANCE AND INSULIN,NIDDK,6852679,5R01DK050736-06,5,R01,DK,50736,6,,,3132566,"SMITH, STEVEN RICHARD",Not Applicable,LSU PENNINGTON BIOMEDICAL RESEARCH CTR, ,2005,205189
MENOPAUSE EFFECT ON OBESITY; ENERGY BALANCE AND INSULIN,NIDDK,6727859,2R01DK050736-05,2,R01,DK,50736,5,,,3132566,"SMITH, STEVEN RICHARD",Not Applicable,LSU PENNINGTON BIOMEDICAL RESEARCH CTR, ,2004,209727
