Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost ,FY Total Cost  (Sub Projects)
HUMAN BANKING AND DIAGNOSIS,NINDS,5215224,5P50NS023724-10,5,P50,NS,23724,10,,13,1876210,"MIGNOT, EMMANUEL J",Not Applicable,, ,1996,,
ALCOHOL AND ADOLESCENT AIDS RISK BEHAVIORS,NIAAA,2045403,5R01AA009185-03,5,R01,AA,9185,3,,,1864280,"MILLSTEIN, SUSAN G",Not Applicable,UNIVERSITY OF CALIFORNIA SAN FRANCISCO, ,1994,216854,
HIV RISK APPRAISAL IN SINGLE URBAN WOMEN,NINR,2258111,1R15NR004059-01,1,R15,NR,4059,1,,,1906283,"MORRISON-BEEDY, DIANNE C",Not Applicable,NIAGARA UNIVERSITY, ,1995,116777,
STEPS TO HEALTH: TARGETING OBESITY IN THE HEALTH CARE WORKPLACE,NIOSH,8110493,5R01OH009468-02,5,R01,OH,9468,2,,,6581200,"OSTBYE, TRULS ",Not Applicable,DUKE UNIVERSITY, ,2011,517914,
STEPS TO HEALTH: TARGETING OBESITY IN THE HEALTH CARE WORKPLACE,NIOSH,7564274,1R01OH009468-01,1,R01,OH,9468,1,,,6581200,"OSTBYE, TRULS ",Not Applicable,DUKE UNIVERSITY, ,2010,446623,
COMPARING SUBSTANCE ABUSE TREATMENTS FOR DUAL DIAGNOSES,NIDA,2733529,5R01DA008537-05,5,R01,DA,8537,5,,,1883817,"PENN, PATRICIA E",Not Applicable,"LA FRONTERA CENTER, INC.", ,1998,134001,
COMPARING SUBSTANCE ABUSE TREATMENTS FOR DUAL DIAGNOSES,NIDA,2458403,5R01DA008537-04,5,R01,DA,8537,4,,,1883817,"PENN, PATRICIA E",Not Applicable,"LA FRONTERA CENTER, INC.", ,1997,132448,
COMPARING SUBSTANCE ABUSE TREATMENTS FOR DUAL DIAGNOSES,NIDA,2121061,5R01DA008537-02,5,R01,DA,8537,2,,,1883817,"PENN, PATRICIA E",Not Applicable,"LA FRONTERA CENTER, INC.", ,1995,126195,
COMPARING SUBSTANCE ABUSE TREATMENTS FOR DUAL DIAGNOSES,NIDA,2121060,1R01DA008537-01A1,1,R01,DA,8537,1,A1,,1883817,"PENN, PATRICIA E",Not Applicable,"LA FRONTERA CENTER, INC.", ,1994,132221,
LINKING OCCUPATIONAL THERAPY PROCESS AND PATIENT PERFORMANCE: THE PERSONAL COMPUT,CLC,6103732,1Z01CL060051-02,1,Z01,CL,60051,2,,,6480175,"ROBERTSON, S. C",Not Applicable,CLINICAL CENTER, ,1998,,
CONFERENCE ON DRUG USE AND OUTCOMES IN MIXED RACE YOUTH,NIDA,2840430,1R13DA012499-01,1,R13,DA,12499,1,,,1880573,"WONG, MAMIE M",Not Applicable,WESTED, ,1999,22993,
